"","ACC2SURV_ACCID","Quercheck","ANS2SURV_ID","ANS2SURV_DURATION","IMPACT","OCCURRENCE","X1PCT","Y1PCT","X2PCT","Y2PCT","PROZAHL","RPZ","GRAPHIO","GRAPHRPZ","QUES2SURV_ID","Q2SID_PREV","Q2SID_NEXT","QUES2SURV_QUESID","QUES_ID","QUES_TEXT","QUES_TYP","QUES2SURV_SURVID","SURV_NAME","QUES2SURV_SORT","QUES2SURV_METHOD","QUES2SURV_KBID","ANS2SURV_QUES2SURVID","ANS2SURV_ACC2SURVID","ANS2SURV_METHOD","MODIFIED","ACC2SURV_GROUPID","ACC2SURV_FIRSTSTEP_DATE","ACC2SURV_MAILFIRST","ACC2SURV_MAILSECOND","ACC2SURV_ROLE","ANS2SURV_ANSWERED","ANS2SURV_COMMENT","QUES_CAUSE","QUES_EFFECT","X1Pixel","X2Pixel","Y1Pixel","Y2Pixel","ClassicGrid","getlowx","gethighx","getlowy","gethighy","hitOcc","hitImp","QuestionGroup","uncertaintyIPixel","uncertaintyOPixel","uncertaintyAreaPixel","uncertaintyPerimeterPixel","uncertaintytotalPixel","middleX","middleY","middleIGRID","middleOGRID","middleGRID"
"21",346,346,139309,7,2,3,"15.5","48.5","24.75","53.75",24,6,-1,-1,1287,1285,1289,354,354,"langwierige Entscheidungsfindung","Risiko",61,"Vorprojekt Kopfzentrum Klinikum Klagenfurt",11,"classic","OR1",1287,561,"classic","27.09.2022",2,"02.09.2022","17.08.2022","16.09.2022",1,1,"","	- unklare Entscheidungs- und Freigabeprozesse <br>- unklare Zuständigkeiten <br>- keine klare Festlegung, Darstellung und Kommunikation des Projektaufbau und -ablauforganisations sowie der Entscheidungsmatrix <br>- Wechsel von Schlüsselpersonen","	- Projektverzögerung",62,99,185,206,"Grid32",1,2,3,3,TRUE,TRUE,NA,37,21,777,116,58,80.5,195.5,2,3,"Grid32"
"23",346,346,139311,16,4,5,"93","1.75","96","4.75",80,20,-1,-1,1289,1287,1291,355,355,"unzureichende Kompetenz und Erfahrung des Projektleiter, Krankenhaushygienikers usw.","Risiko",61,"Vorprojekt Kopfzentrum Klinikum Klagenfurt",12,"classic","OR2",1289,561,"classic","27.09.2022",2,"02.09.2022","17.08.2022","16.09.2022",1,1,"","	- Projektleiter bzw. Hygieniker ist zu kurz im Unternehmen, um die Struktur und Handlungsweisen des Unternehmens zu verstehen","	- Projektverzögerung",372,384,381,393,"Grid54",5,5,5,5,TRUE,FALSE,NA,12,12,144,48,24,378,387,5,5,"Grid55"
"25",346,346,139313,22,3,2,"83.5","93.5","89","96",24,6,-1,-1,1291,1289,1293,356,356,"keine Integration QMS und RMS","Risiko",61,"Vorprojekt Kopfzentrum Klinikum Klagenfurt",13,"classic","OR3",1291,561,"classic","27.09.2022",2,"02.09.2022","17.08.2022","16.09.2022",1,1,"","","",334,356,16,26,"Grid23",5,5,1,1,FALSE,FALSE,NA,22,10,220,64,32,345,21,5,1,"Grid15"
"27",346,346,139315,13,2,3,"77.25","46.75","82.5","50.5",24,6,-1,-1,1293,1291,1295,357,357,"keine ausreichende Berücksichtigung/Koordination der vielen Beteiligten und/oder Schnittstellen","Risiko",61,"Vorprojekt Kopfzentrum Klinikum Klagenfurt",14,"classic","OR4",1293,561,"classic","27.09.2022",2,"02.09.2022","17.08.2022","16.09.2022",1,1,"","","",309,330,198,213,"Grid32",4,5,3,3,TRUE,FALSE,NA,21,15,315,72,36,319.5,205.5,5,3,"Grid35"
"29",346,346,139317,14,2,2,"67.25","85.75","77","89.25",16,4,-1,-1,1295,1293,1297,358,358,"fehlende selbständige interne Koordination der Fachabteilung","Risiko",61,"Vorprojekt Kopfzentrum Klinikum Klagenfurt",15,"classic","OR5",1295,561,"classic","27.09.2022",2,"02.09.2022","17.08.2022","16.09.2022",1,1,"","	- kein Verständnis der übermittelten Information <br>- keine interne Kommunikation und Information in der Abteilung","Wissensdefizit <br>ineffiziente Arbeitssitzungen",269,308,43,57,"Grid22",4,4,1,1,FALSE,FALSE,NA,39,14,546,106,53,288.5,50,4,1,"Grid14"
"31",346,346,139319,30,4,5,"87","3.25","91.5","7",80,20,-1,-1,1297,1295,1299,359,359,"Wechsel wesentlicher Schlüsselpersonen für die Umsetzung/Verantwortlicher im Projektteam (z. B. Projektleitung, Nutzer, Planer, Auftraggeber, Verantwortungsträger in einzelnen Bereichen z. B. Technik), Know-How-Träger stehen nicht zur Verfügung / Veränderung in den Entscheidungsstrukturen","Risiko",61,"Vorprojekt Kopfzentrum Klinikum Klagenfurt",16,"classic","OR6",1297,561,"classic","27.09.2022",2,"02.09.2022","17.08.2022","16.09.2022",1,1,"","	- keine rechtzeitige Nachfolgeregelung z. B. bei Pensionierungen <br>- fachliche Überforderung <br>- Neubesetzungen","	- mangelhafter Wissenstransfer <br>- Ressourcenlücken <br>- Verzögerungen bzw. Projekt kann nicht entsprechend denfinierten Projektzielen umgesetzt werden z. B. durch  Veränderungen in den Entscheidungsstrukturen",348,366,372,387,"Grid54",5,5,5,5,TRUE,FALSE,NA,18,15,270,66,33,357,379.5,5,5,"Grid55"
"33",346,346,139321,12,2,2,"20.25","73.25","26.75","76.75",16,4,-1,-1,1299,1297,1301,360,360,"es besteht kein effizientes Änderungsmanagement","Risiko",61,"Vorprojekt Kopfzentrum Klinikum Klagenfurt",17,"classic","PA1",1299,561,"classic","27.09.2022",2,"02.09.2022","17.08.2022","16.09.2022",1,1,"","	- zu viele Entscheider","	- Verzögerung <br>- Mehrkosten",81,107,93,107,"Grid22",2,2,2,2,TRUE,TRUE,NA,26,14,364,80,40,94,100,2,2,"Grid22"
"35",346,346,139323,11,2,3,"50.5","71.75","58","74.75",24,6,-1,-1,1301,1299,1303,361,361,"verzögerte Freigabe von Planungsschritten und Genehmigungschritten (PA1)","Risiko",61,"Vorprojekt Kopfzentrum Klinikum Klagenfurt",18,"classic","PA2",1301,561,"classic","27.09.2022",2,"02.09.2022","17.08.2022","16.09.2022",1,1,"","	- fehlende Vorgaben Betriebsorganisation <br>- nicht geführte Diskussionen zu Fragen der Betriebsorganisation <br>- keine Klärung und Dokumentation der neuen Betriebsprozesse bzw. Patient:innenverantwortlichkeiten im neuen Behandlungsprozess","	- Verzögerung Gesamtprojektfortschritt <br>- fehlende Akzeptanz bei Nutzern",202,232,101,113,"Grid32",3,3,2,2,FALSE,FALSE,NA,30,12,360,84,42,217,107,3,2,"Grid23"
"37",346,346,139325,12,3,4,"85.5","3.25","91.25","5.75",48,12,-1,-1,1303,1301,1305,362,362,"Raumplanung nicht am Betriebsbedarf ausgerichtet","Risiko",61,"Vorprojekt Kopfzentrum Klinikum Klagenfurt",19,"classic","PF1",1303,561,"classic","27.09.2022",2,"02.09.2022","17.08.2022","16.09.2022",1,1,"","zu wenig Räumlichkeiten (6 OP-Räume und 2 Eingriffsräume) bzw. Platz (z. B. Ambulanzzentrum) für 60.000 ambulante Patienten jährlich","	- Einschränkung der Betriebsabläufe (ineffektiv und ineffizient) <br>- Wartezeiten für Patient:innen <br>- reduzierte Patienten- und Mitarbeiter:innen-Zufriedenheit",342,365,377,387,"Grid43",5,5,5,5,FALSE,FALSE,NA,23,10,230,66,33,353.5,382,5,5,"Grid55"
"39",346,346,139327,31,3,3,"21.25","81","28.75","84",36,9,-1,-1,1305,1303,1379,363,363,"Betriebsunterbrechungen bzw. -ausfälle länger als 1 Arbeitswoche (Weiterbestand/Sanierung des restlichen Gebäudes 161 (inkl. den Räumlichkeiten für 3 SPECT/CT, 1 PET/CT) - Eingangsbereich 161","Risiko",61,"Vorprojekt Kopfzentrum Klinikum Klagenfurt",20,"classic","PF2",1305,561,"classic","27.09.2022",2,"02.09.2022","17.08.2022","16.09.2022",1,1,"","	- Zwischenaussiedelung der Schilddrüsenambulanz zur Baufeldfeimachung <br>- zusätzliches Baufeld wird benötigt","	- Gefährdung der Patietnt:innen-Sicherheit (onkologisch) <br>- Nicht-Erfüllung des Versorgungsauftrages <br>- Mehrkosten  <br>- Mehrbedarf Personalressourcen <br>- länger Bauzeit <br>- keine Nachnutzung",85,115,64,76,"Grid33",2,2,1,1,FALSE,FALSE,NA,30,12,360,84,42,100,70,2,1,"Grid12"
"41",346,346,139329,NA,NA,NA,"","","","",NA,NA,-1,-1,1379,1305,1307,364,364,"Etablierung einer zentralen Leitstelle für die Schilddrüsenambulanz und die Nuklearmedizin","Chance",61,"Vorprojekt Kopfzentrum Klinikum Klagenfurt",21,"classic","PF3",1379,561,"classic","02.09.2022",2,"02.09.2022","17.08.2022","16.09.2022",1,-1,"","","	- effektive und effiziente Prozessgestaltung <br>- Ressourcenschonung <br>- gesteigerte Patienten- und Mitarbeiter:innen-Zufriedenheit",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43",346,346,139331,17,4,4,"53.75","30.25","58","35",64,16,-1,-1,1307,1379,1381,365,365,"Schulungs- und Einführungsaufwand","Risiko",61,"Vorprojekt Kopfzentrum Klinikum Klagenfurt",22,"classic","PF4",1307,561,"classic","27.09.2022",2,"02.09.2022","17.08.2022","16.09.2022",1,1,"","	- neuartige Technologien <br>- Verfahren <br>- Prozesse <br>- Materialien","	- Personalmehraufwand",215,232,260,279,"Grid44",3,3,4,4,TRUE,FALSE,NA,17,19,323,72,36,223.5,269.5,3,4,"Grid43"
"45",346,346,139333,NA,NA,NA,"","","","",NA,NA,-1,-1,1381,1307,1397,366,366,"Harmonisierung unterschiedlicher Standards und Umsetzungsgrade in prozessübergreifenden Managementsystemen (z. B.  Qualitäts- und Risikomanagement, ISMS, Compliance) und anderen Systemen","Chance",61,"Vorprojekt Kopfzentrum Klinikum Klagenfurt",23,"classic","PF5",1381,561,"classic","02.09.2022",2,"02.09.2022","17.08.2022","16.09.2022",1,-1,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47",346,346,139335,NA,NA,NA,"","","","",NA,NA,-1,-1,1397,1381,1331,297,297,"Baufeldfreimachung für zukünftige Projekte","Chance",61,"Vorprojekt Kopfzentrum Klinikum Klagenfurt",24,"classic","PF6",1397,561,"classic","02.09.2022",2,"02.09.2022","17.08.2022","16.09.2022",1,-1,"","HNO, 1. Med.","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49",346,346,139337,NA,NA,NA,"","","","",NA,NA,-1,-1,1331,1397,1309,298,298,"Gefährdung bestehender Zertifizierungen (ISO, Onko-Zentrum, UEMS, EMAS)","Risiko",61,"Vorprojekt Kopfzentrum Klinikum Klagenfurt",25,"classic","PF7",1331,561,"classic","02.09.2022",2,"02.09.2022","17.08.2022","16.09.2022",1,-1,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51",346,346,139339,21,2,4,"17.75","82","23.25","84.75",32,8,-1,-1,1309,1331,1311,281,281,"zusätzlicher Betrieb leer stehender Gebäude","Risiko",61,"Vorprojekt Kopfzentrum Klinikum Klagenfurt",26,"classic","PF8",1309,561,"classic","27.09.2022",2,"02.09.2022","17.08.2022","16.09.2022",1,1,"","	- kein Abriss","	- Mehrkosten",71,93,61,72,"Grid42",1,2,1,1,FALSE,TRUE,NA,22,11,242,66,33,82,66.5,2,1,"Grid12"
"53",346,346,139341,13,3,5,"35.25","48.25","44","51.25",60,15,-1,-1,1311,1309,1313,282,282,"keine Berücksichtigung der Veränderung der medizinischen Standards von der Planung bis zur Fertigstellung (ca. 6 Jahre)","Risiko",61,"Vorprojekt Kopfzentrum Klinikum Klagenfurt",27,"classic","PF9",1311,561,"classic","27.09.2022",2,"02.09.2022","17.08.2022","16.09.2022",1,1,"","medizinische Weiterentwicklung und Innovationen in der Zukunft können nicht berücksichtigt werden","",141,176,195,207,"Grid53",2,3,3,3,FALSE,TRUE,NA,35,12,420,94,47,158.5,201,2,3,"Grid32"
"55",346,346,139343,16,2,3,"50","46.5","54","50.75",24,6,-1,-1,1313,1311,1315,283,283,"keine ausreichende Berücksichtigung von Kapazitäten, Zeit, Kosten in der Planung der Übersiedelung während der Bauphase","Risiko",61,"Vorprojekt Kopfzentrum Klinikum Klagenfurt",28,"classic","PF10",1313,561,"classic","27.09.2022",2,"02.09.2022","17.08.2022","16.09.2022",1,1,"","","	- Projektkosten können nicht eingehalten werden / werden wesentlich überschritten <br>- verzögerte Inbetriebnahme",200,216,197,214,"Grid32",3,3,3,3,TRUE,FALSE,NA,16,17,272,66,33,208,205.5,3,3,"Grid33"
"57",346,346,139345,NA,NA,NA,"","","","",NA,NA,-1,-1,1315,1313,1317,284,284,"keine ausreichende Berücksichtigung der Schnittstellen zwischen Projekt und laufendem Betrieb (technisch)","Risiko",61,"Vorprojekt Kopfzentrum Klinikum Klagenfurt",29,"classic","PF11",1315,561,"classic","02.09.2022",2,"02.09.2022","17.08.2022","16.09.2022",1,-1,"","	- keine ausreichenden technischen Gegebenheiten und Kapazitäten (Energie, Wasser, Klima, Gas, HT usw.)","	- Schnittstellenprobleme <br>- Mehrkosten",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59",346,346,139347,11,3,3,"54.5","37.25","60","41.25",36,9,-1,-1,1317,1315,1319,285,285,"negative Auswirkung und Beeinflussung des angrenzenden (laufenden) Betriebs","Risiko",61,"Vorprojekt Kopfzentrum Klinikum Klagenfurt",30,"classic","PF12",1317,561,"classic","27.09.2022",2,"02.09.2022","17.08.2022","16.09.2022",1,1,"","	- Nähe zum Baufeld (Erschütterungen, Lärm, Staub) <br>- keine adäquate Baufeldabgrenzung","	- Einschränkgung im Bereich (z. B. Nukl.Med., Notfallaufnahmen, Zufahrt) <br>- klinische Abläufe <br>- Patient:innen- und Mitarbeiter:innensicherheit und -zufriedenheit <br>- Gerätesicherheit <br>- Hygiene <br>- Logistik <br>- Brandschutz uvm.",218,240,235,251,"Grid33",3,4,4,3,FALSE,TRUE,NA,22,16,352,76,38,229,243,3,4,"Grid43"
"61",346,346,139349,26,3,3,"76.75","82.5","84.75","87",36,9,-1,-1,1319,1317,1383,286,286,"Neu-Bewilligungen werden notwendig","Risiko",61,"Vorprojekt Kopfzentrum Klinikum Klagenfurt",31,"classic","PF13",1319,561,"classic","27.09.2022",2,"02.09.2022","17.08.2022","16.09.2022",1,1,"","	- Abrisse","hohe Anforderungen mach Schließungen von Gebäuden notwendig",307,339,52,70,"Grid33",4,5,1,1,FALSE,FALSE,NA,32,18,576,100,50,323,61,5,1,"Grid15"
"63",346,346,139351,NA,NA,NA,"","","","",NA,NA,-1,-1,1383,1319,1385,287,287,"Adaptierung/Modernisierung der räumlichen Strukturen an die Anforderungen des Versorgungsauftrags sowie an die Anforderungen der betroffenen Primär- und Sekundärversorgungsbereiche","Chance",61,"Vorprojekt Kopfzentrum Klinikum Klagenfurt",32,"classic","PF14",1383,561,"classic","02.09.2022",2,"02.09.2022","17.08.2022","16.09.2022",1,-1,"","	- demographische Entwicklung <br>Allgemein: <br>- infrastrukturelle Veränderung <br>- personalstrukturelle Veränderung <br>- abrechnungstechnische Veränderung <br>- beschaffungsspezifische Veränderung <br>- besserer Patient:innenkomfort im stationären (Betten-)Bereich <br>- bessere Anbindung an das CMZ (kürzere Patiet:innenwege <br>- bessere Umsetzung von Schallschutzmaßnahmen (Audiometrie) <br>","	- Berücksichtigung zukünftiger Versorungsbedarfe  <br>- Erhöhung der Versorgungsqualität (Reduktion der Wartezeiten) <br>- Stärkung des medizinischen Standards der Fachbereiche <br>- Effektivere und effizientere Gestaltung der Arbeitsabläufe bzw. des klinischen Alltags (z. B. Einführung einer zentralen Leitstelle / elektronische Unterstützung, Einführung neuer Berufsgruppen z. B. MOA, OA) <br>- kürzere Wege <br>- Verbesserung der Patienten- und Mitarbeiter:innen-Zufriedenheit ==> Imageverbesserung <br>- fachübergreifende Vernetzung der Fächer des Kopfzentrums <br>- Beibehaltung bzw. Erhöhung der Felxibilität des med. Personals => Schonung der Personalressource <br>- kein Bedarf des Transports radioaktiver Tracer <br>- Verbesserung der interdisziplinären Zusammenarbeit der Fachbereiche <br>- Nutzung von Synergien durch die Zusammenführung einzelner bisher autarker Fachbereiche <br>- Verschiebung von Marktanteilen",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65",346,346,139353,NA,NA,NA,"","","","",NA,NA,-1,-1,1385,1383,1321,288,288,"nachhaltige Interimslösung der Räumlichkeiten zur Nachnutzung als Ausweichstation","Chance",61,"Vorprojekt Kopfzentrum Klinikum Klagenfurt",33,"classic","PF15",1385,561,"classic","02.09.2022",2,"02.09.2022","17.08.2022","16.09.2022",1,-1,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67",346,346,139355,NA,NA,NA,"","","","",NA,NA,-1,-1,1321,1385,1387,289,289,"keine Kompatibilität der Projektziele mit dem Versorgungsauftrag  (z. B. Betriebsziele, politische Ziele, Umsetzung ÖSG-RSG usw.)","Risiko",61,"Vorprojekt Kopfzentrum Klinikum Klagenfurt",34,"classic","PU1",1321,561,"classic","02.09.2022",2,"02.09.2022","17.08.2022","16.09.2022",1,-1,"","	- Vorgaben des RSG NEU (2025) sehen wesentliche Änderungen zu dem im Projektumfang definierten Struktur- und Leistungsspektrum (Basis RSG 2020) vor (RSG 2030 könnte die Projektgrundlagen nochmals verändern ==> Stichwort: Auslagerung in die extramurale Versorgung) <br>- Unkenntnis über die Möglichkeit der Einsetzbarkeit des Faches PMR <br>- Projektnutzen ist zu wenig klar bestimmt => und vom Nutzer daher nicht erkennbar <br>","	- Nicht-Erfüllung des gesetzlich definierten Versorgungsauftrags <br>- keine Projektumsetzung",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69",346,346,139357,NA,NA,NA,"","","","",NA,NA,-1,-1,1387,1321,1389,290,290,"Einhaltung sicherheits- und gesundheitspolitischer Auflagen und Einschränkungen (ÖSG-RSG)","Chance",61,"Vorprojekt Kopfzentrum Klinikum Klagenfurt",35,"classic","PU2",1387,561,"classic","02.09.2022",2,"02.09.2022","17.08.2022","16.09.2022",1,-1,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71",346,346,139359,NA,NA,NA,"","","","",NA,NA,-1,-1,1389,1387,1391,291,291,"Verbesserung der Positionierung am Arbeitsmarkt","Chance",61,"Vorprojekt Kopfzentrum Klinikum Klagenfurt",36,"classic","PU3",1389,561,"classic","02.09.2022",2,"02.09.2022","17.08.2022","16.09.2022",1,-1,"","z. B. moderne Strukturen und Arbeitsabläufe","	- gesteigertes Interesse bei DGKP, PA, RT, BMA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73",346,346,139361,NA,NA,NA,"","","","",NA,NA,-1,-1,1391,1389,1393,292,292,"Verbesserung der interdisziplinären Zusammenarbeit","Chance",61,"Vorprojekt Kopfzentrum Klinikum Klagenfurt",37,"classic","PU4",1391,561,"classic","02.09.2022",2,"02.09.2022","17.08.2022","16.09.2022",1,-1,"","räumliche und organisatorische Zusammenführung","Verbesserung der Versorgungsqualität",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
