"","ACC2SURV_ACCID","Quercheck","ANS2SURV_ID","ANS2SURV_DURATION","IMPACT","OCCURRENCE","X1PCT","Y1PCT","X2PCT","Y2PCT","PROZAHL","RPZ","GRAPHIO","GRAPHRPZ","QUES2SURV_ID","Q2SID_PREV","Q2SID_NEXT","QUES2SURV_QUESID","QUES_ID","QUES_TEXT","QUES_TYP","QUES2SURV_SURVID","SURV_NAME","QUES2SURV_SORT","QUES2SURV_METHOD","QUES2SURV_KBID","ANS2SURV_QUES2SURVID","ANS2SURV_ACC2SURVID","ANS2SURV_METHOD","MODIFIED","ACC2SURV_GROUPID","ACC2SURV_FIRSTSTEP_DATE","ACC2SURV_MAILFIRST","ACC2SURV_MAILSECOND","ACC2SURV_ROLE","ANS2SURV_ANSWERED","ANS2SURV_COMMENT","QUES_CAUSE","QUES_EFFECT","X1Pixel","X2Pixel","Y1Pixel","Y2Pixel","ClassicGrid","getlowx","gethighx","getlowy","gethighy","hitOcc","hitImp","QuestionGroup","uncertaintyIPixel","uncertaintyOPixel","uncertaintyIPercent","uncertaintyOPercent","uncertaintyAreaPixel","uncertaintyPerimeterPixel","uncertaintytotalPixel","middleX","middleY","middleIGRID","middleOGRID","middleGRID","scaled_IMPACT","scaled_OCCURRENCE","scaled_X1","scaled_X2","scaled_Y1","scaled_Y2","scaled_uncertainty_X","scaled_uncertainty_Y","scaled_uncertainty_XY","scaled_uncertainty_AREA","scaled_uncertainty_PERIMETER","scaled_uncertainty_middle_X","scaled_uncertainty_middle_Y"
"21",5,5,21,NA,5,5,"80","80","100","100",NA,NA,NA,NA,NA,NA,NA,403,403,"","Risiko",61,"Vorprojekt Kopfzentrum Klinikum Klagenfurt",NA,"classic","MU3",NA,NA,"classic","",2,"","","",2,1,"","","",320,400,320,400,"Grid55",5,5,5,5,TRUE,TRUE,NA,80,80,20,20,6400,320,160,360,360,5,5,"Grid55",90,90,80,100,80,100,20,20,40,400,80,90,90
"23",346,346,139289,64,3,3,"63","74.25","68","81",36,9,-1,-1,1269,0,1271,344,344,"keine umfangreiche Information aller Betroffenen und Beteiligten (z. B. zur weiteren (Unternehmens- und Abteilungs-)Strategie bzgl. Fortbestand der Therapiestation und des Zyklotron, sowie den Funktionsräumen von Gebäude 161 (SPECT/PET); Schilddrüsenspezialambulanz)","Risiko",61,"Vorprojekt Kopfzentrum Klinikum Klagenfurt",1,"classic","BB1",1269,561,"classic","27.09.2022",2,"02.09.2022","17.08.2022","16.09.2022",1,1,"","	- keine umfassende, zeitgerechte Einbindung und Kommunikation und Information durch in der Projektorganisation und das KD <br>- keine ausreichenden Ressourcenverfügbarkeit für Projekttermine usw. <br>- Masterplan nicht kommuniziert","	- Projektänderungswünsche <br>- Projektverzögerungen <br>- Nutzerunzufriedenheit <br>- keine Identifikation mit dem Projekt <br>- Skepsis, Ängste bzw. keine Zustimmung der Beteiligten und Betroffenen",252,272,297,324,"Grid33",4,4,4,5,FALSE,FALSE,NA,20,27,5,6.75,540,94,47,262,310.5,4,4,"Grid44",50,50,63,68,74.25,81,5,6.75,11.75,33.75,23.5,65.5,77.625
"25",346,346,139291,24,3,5,"42.75","40.25","54.25","47.5",60,15,-1,-1,1271,1269,1377,345,345,"Projektanforderungen ändern sich","Risiko",61,"Vorprojekt Kopfzentrum Klinikum Klagenfurt",2,"classic","BB2",1271,561,"classic","27.09.2022",2,"02.09.2022","17.08.2022","16.09.2022",1,1,"","	- Wechsel der Nutzervertreter BO (z. B. durch Pensionierungen)  <br>- lange Projektlaufzeit","	- Kostensteigerungen <br>- zeitliche Verzögerungen <br>- Veränderung des technischen Standards zwischen Planung und Inbetriebnahme",171,217,161,190,"Grid53",3,3,3,3,FALSE,TRUE,NA,46,29,11.5,7.25,1334,150,75,194,175.5,3,3,"Grid33",50,90,42.75,54.25,40.25,47.5,11.5,7.25,18.75,83.375,37.5,48.5,43.875
"29",346,346,139295,26,4,5,"73.5","79.25","82.75","88.25",80,20,-1,-1,1273,1377,1275,347,347,"keine ausreichende Ressourcenverfügbarkeit bei den Betroffenen und Beteiligten (z. B. für Projektsitzungen im Rahmen der Planung, Umsetzung und Übersiedelung)","Risiko",61,"Vorprojekt Kopfzentrum Klinikum Klagenfurt",4,"classic","BB4",1273,561,"classic","27.09.2022",2,"02.09.2022","17.08.2022","16.09.2022",1,1,"","im Rahmen der Projektplanung werden Dienstpläne, Urlaubszeiten oder Zeiten intensiver zusätzlicher Tätigkeiten (z. B. Jahresabschluss) nicht berücksichtigt <br>(Fachbereiche, Hygiene)","	- Projektverzögerung <br>- verzögerte Inbetriebnahme",294,331,317,353,"Grid54",4,5,4,5,TRUE,TRUE,NA,37,36,9.25,9,1332,146,73,312.5,335,4,5,"Grid54",70,90,73.5,82.75,79.25,88.25,9.25,9,18.25,83.25,36.5,78.125,83.75
"31",346,346,139297,15,4,4,"50.5","39","57.75","44.5",64,16,-1,-1,1275,1273,1277,348,348,"Abhängigkeiten der Projektumsetzung von Einzelpersonen","Risiko",61,"Vorprojekt Kopfzentrum Klinikum Klagenfurt",5,"classic","BB5",1275,561,"classic","27.09.2022",2,"02.09.2022","17.08.2022","16.09.2022",1,1,"","","",202,231,156,178,"Grid44",3,3,2,3,FALSE,FALSE,NA,29,22,7.25,5.5,638,102,51,216.5,167,3,3,"Grid33",70,70,50.5,57.75,39,44.5,7.25,5.5,12.75,39.875,25.5,54.125,41.75
"33",346,346,139299,10,3,4,"27.75","8.5","37.5","14.25",48,12,-1,-1,1277,1275,1279,349,349,"Veränderte bzw. nicht/besonders wahrgenommene Zuständigkeit","Risiko",61,"Vorprojekt Kopfzentrum Klinikum Klagenfurt",6,"classic","BB6",1277,561,"classic","27.09.2022",2,"02.09.2022","17.08.2022","16.09.2022",1,1,"","","",111,150,34,57,"Grid43",2,2,1,1,FALSE,FALSE,NA,39,23,9.75,5.75,897,124,62,130.5,45.5,2,1,"Grid12",50,70,27.75,37.5,8.5,14.25,9.75,5.75,15.5,56.0625,31,32.625,11.375
"35",346,346,139301,9,2,3,"38.75","44.25","46.75","52.5",24,6,-1,-1,1279,1277,1281,350,350,"neue, überzogene (An-)Forderungen der Nutzer/Partner","Risiko",61,"Vorprojekt Kopfzentrum Klinikum Klagenfurt",7,"classic","BB7",1279,561,"classic","27.09.2022",2,"02.09.2022","17.08.2022","16.09.2022",1,1,"","	- lange Projektdauer <br>- Wechsel wesentlicher Schlüsselpersonen","",155,187,177,210,"Grid32",2,3,3,3,TRUE,TRUE,NA,32,33,8,8.25,1056,130,65,171,193.5,3,3,"Grid33",30,50,38.75,46.75,44.25,52.5,8,8.25,16.25,66,32.5,42.75,48.375
"37",346,346,139303,18,2,3,"6.75","88","11.25","96.75",24,6,-1,-1,1281,1279,1283,351,351,"Falsche oder nicht ausgesprochene Erwartungen durch Nutzer, Partner, Anrainer","Risiko",61,"Vorprojekt Kopfzentrum Klinikum Klagenfurt",8,"classic","BB8",1281,561,"classic","27.09.2022",2,"02.09.2022","17.08.2022","16.09.2022",1,1,"","	- lange Projektdauer <br>- Wechsel wesentlicher Schlüsselpersonen","",27,45,352,387,"Grid32",1,1,5,5,FALSE,FALSE,NA,18,35,4.5,8.75,630,106,53,36,369.5,1,5,"Grid51",30,50,6.75,11.25,88,96.75,4.5,8.75,13.25,39.375,26.5,9,92.375
"39",346,346,139305,13,3,4,"32","61","38.25","66.75",48,12,-1,-1,1283,1281,1285,352,352,"Überlastung des Projektteams","Risiko",61,"Vorprojekt Kopfzentrum Klinikum Klagenfurt",9,"classic","BB9",1283,561,"classic","27.09.2022",2,"02.09.2022","17.08.2022","16.09.2022",1,1,"","mehrere gleichzeitig laufende Projekte","Projektverzögerung",128,153,244,267,"Grid43",2,2,4,4,TRUE,FALSE,NA,25,23,6.25,5.75,575,96,48,140.5,255.5,2,4,"Grid42",50,70,32,38.25,61,66.75,6.25,5.75,12,35.9375,24,35.125,63.875
"41",346,346,139307,13,2,3,"37.5","51.25","44.75","56.5",24,6,-1,-1,1285,1283,1287,353,353,"mangelnde Unterstützung/Widerstand von Beteiligten und Betroffenen","Risiko",61,"Vorprojekt Kopfzentrum Klinikum Klagenfurt",10,"classic","BB10",1285,561,"classic","27.09.2022",2,"02.09.2022","17.08.2022","16.09.2022",1,1,"","","Projektverzögerung",150,179,205,226,"Grid32",2,3,3,3,TRUE,TRUE,NA,29,21,7.25,5.25,609,100,50,164.5,215.5,3,3,"Grid33",30,50,37.5,44.75,51.25,56.5,7.25,5.25,12.5,38.0625,25,41.125,53.875
"43",346,346,139309,7,2,3,"15.5","46.25","24.75","51.5",24,6,-1,-1,1287,1285,1289,354,354,"langwierige Entscheidungsfindung","Risiko",61,"Vorprojekt Kopfzentrum Klinikum Klagenfurt",11,"classic","OR1",1287,561,"classic","27.09.2022",2,"02.09.2022","17.08.2022","16.09.2022",1,1,"","	- unklare Entscheidungs- und Freigabeprozesse <br>- unklare Zuständigkeiten <br>- keine klare Festlegung, Darstellung und Kommunikation des Projektaufbau und -ablauforganisations sowie der Entscheidungsmatrix <br>- Wechsel von Schlüsselpersonen","	- Projektverzögerung",62,99,185,206,"Grid32",1,2,3,3,TRUE,TRUE,NA,37,21,9.25,5.25,777,116,58,80.5,195.5,2,3,"Grid32",30,50,15.5,24.75,46.25,51.5,9.25,5.25,14.5,48.5625,29,20.125,48.875
"45",346,346,139311,16,4,5,"93","95.25","96","98.25",80,20,-1,-1,1289,1287,1291,355,355,"unzureichende Kompetenz und Erfahrung des Projektleiter, Krankenhaushygienikers usw.","Risiko",61,"Vorprojekt Kopfzentrum Klinikum Klagenfurt",12,"classic","OR2",1289,561,"classic","27.09.2022",2,"02.09.2022","17.08.2022","16.09.2022",1,1,"","	- Projektleiter bzw. Hygieniker ist zu kurz im Unternehmen, um die Struktur und Handlungsweisen des Unternehmens zu verstehen","	- Projektverzögerung",372,384,381,393,"Grid54",5,5,5,5,TRUE,FALSE,NA,12,12,3,3,144,48,24,378,387,5,5,"Grid55",70,90,93,96,95.25,98.25,3,3,6,9,12,94.5,96.75
"47",346,346,139313,22,3,2,"83.5","4","89","6.5",24,6,-1,-1,1291,1289,1293,356,356,"keine Integration QMS und RMS","Risiko",61,"Vorprojekt Kopfzentrum Klinikum Klagenfurt",13,"classic","OR3",1291,561,"classic","27.09.2022",2,"02.09.2022","17.08.2022","16.09.2022",1,1,"","","",334,356,16,26,"Grid23",5,5,1,1,FALSE,FALSE,NA,22,10,5.5,2.5,220,64,32,345,21,5,1,"Grid15",50,30,83.5,89,4,6.5,5.5,2.5,8,13.75,16,86.25,5.25
"49",346,346,139315,13,2,3,"77.25","49.5","82.5","53.25",24,6,-1,-1,1293,1291,1295,357,357,"keine ausreichende Berücksichtigung/Koordination der vielen Beteiligten und/oder Schnittstellen","Risiko",61,"Vorprojekt Kopfzentrum Klinikum Klagenfurt",14,"classic","OR4",1293,561,"classic","27.09.2022",2,"02.09.2022","17.08.2022","16.09.2022",1,1,"","","",309,330,198,213,"Grid32",4,5,3,3,TRUE,FALSE,NA,21,15,5.25,3.75,315,72,36,319.5,205.5,NA,3,NA,30,50,77.25,82.5,49.5,53.25,5.25,3.75,9,19.6875,18,79.875,51.375
"51",346,346,139317,14,2,2,"67.25","10.75","77","14.25",16,4,-1,-1,1295,1293,1297,358,358,"fehlende selbständige interne Koordination der Fachabteilung","Risiko",61,"Vorprojekt Kopfzentrum Klinikum Klagenfurt",15,"classic","OR5",1295,561,"classic","27.09.2022",2,"02.09.2022","17.08.2022","16.09.2022",1,1,"","	- kein Verständnis der übermittelten Information <br>- keine interne Kommunikation und Information in der Abteilung","Wissensdefizit <br>ineffiziente Arbeitssitzungen",269,308,43,57,"Grid22",4,4,1,1,FALSE,FALSE,NA,39,14,9.75,3.5,546,106,53,288.5,50,4,1,"Grid14",30,30,67.25,77,10.75,14.25,9.75,3.5,13.25,34.125,26.5,72.125,12.5
"53",346,346,139319,30,4,5,"87","93","91.5","96.75",80,20,-1,-1,1297,1295,1299,359,359,"Wechsel wesentlicher Schlüsselpersonen für die Umsetzung/Verantwortlicher im Projektteam (z. B. Projektleitung, Nutzer, Planer, Auftraggeber, Verantwortungsträger in einzelnen Bereichen z. B. Technik), Know-How-Träger stehen nicht zur Verfügung / Veränderung in den Entscheidungsstrukturen","Risiko",61,"Vorprojekt Kopfzentrum Klinikum Klagenfurt",16,"classic","OR6",1297,561,"classic","27.09.2022",2,"02.09.2022","17.08.2022","16.09.2022",1,1,"","	- keine rechtzeitige Nachfolgeregelung z. B. bei Pensionierungen <br>- fachliche Überforderung <br>- Neubesetzungen","	- mangelhafter Wissenstransfer <br>- Ressourcenlücken <br>- Verzögerungen bzw. Projekt kann nicht entsprechend denfinierten Projektzielen umgesetzt werden z. B. durch  Veränderungen in den Entscheidungsstrukturen",348,366,372,387,"Grid54",5,5,5,5,TRUE,FALSE,NA,18,15,4.5,3.75,270,66,33,357,379.5,5,5,"Grid55",70,90,87,91.5,93,96.75,4.5,3.75,8.25,16.875,16.5,89.25,94.875
"55",346,346,139321,12,2,2,"20.25","23.25","26.75","26.75",16,4,-1,-1,1299,1297,1301,360,360,"es besteht kein effizientes Änderungsmanagement","Risiko",61,"Vorprojekt Kopfzentrum Klinikum Klagenfurt",17,"classic","PA1",1299,561,"classic","27.09.2022",2,"02.09.2022","17.08.2022","16.09.2022",1,1,"","	- zu viele Entscheider","	- Verzögerung <br>- Mehrkosten",81,107,93,107,"Grid22",2,2,2,2,TRUE,TRUE,NA,26,14,6.5,3.5,364,80,40,94,100,2,2,"Grid22",30,30,20.25,26.75,23.25,26.75,6.5,3.5,10,22.75,20,23.5,25
"57",346,346,139323,11,2,3,"50.5","25.25","58","28.25",24,6,-1,-1,1301,1299,1303,361,361,"verzögerte Freigabe von Planungsschritten und Genehmigungschritten (PA1)","Risiko",61,"Vorprojekt Kopfzentrum Klinikum Klagenfurt",18,"classic","PA2",1301,561,"classic","27.09.2022",2,"02.09.2022","17.08.2022","16.09.2022",1,1,"","	- fehlende Vorgaben Betriebsorganisation <br>- nicht geführte Diskussionen zu Fragen der Betriebsorganisation <br>- keine Klärung und Dokumentation der neuen Betriebsprozesse bzw. Patient:innenverantwortlichkeiten im neuen Behandlungsprozess","	- Verzögerung Gesamtprojektfortschritt <br>- fehlende Akzeptanz bei Nutzern",202,232,101,113,"Grid32",3,3,2,2,FALSE,FALSE,NA,30,12,7.5,3,360,84,42,217,107,3,2,"Grid23",30,50,50.5,58,25.25,28.25,7.5,3,10.5,22.5,21,54.25,26.75
"59",346,346,139325,12,3,4,"85.5","94.25","91.25","96.75",48,12,-1,-1,1303,1301,1305,362,362,"Raumplanung nicht am Betriebsbedarf ausgerichtet","Risiko",61,"Vorprojekt Kopfzentrum Klinikum Klagenfurt",19,"classic","PF1",1303,561,"classic","27.09.2022",2,"02.09.2022","17.08.2022","16.09.2022",1,1,"","zu wenig Räumlichkeiten (6 OP-Räume und 2 Eingriffsräume) bzw. Platz (z. B. Ambulanzzentrum) für 60.000 ambulante Patienten jährlich","	- Einschränkung der Betriebsabläufe (ineffektiv und ineffizient) <br>- Wartezeiten für Patient:innen <br>- reduzierte Patienten- und Mitarbeiter:innen-Zufriedenheit",342,365,377,387,"Grid43",5,5,5,5,FALSE,FALSE,NA,23,10,5.75,2.5,230,66,33,353.5,382,5,5,"Grid55",50,70,85.5,91.25,94.25,96.75,5.75,2.5,8.25,14.375,16.5,88.375,95.5
"61",346,346,139327,31,3,3,"21.25","16","28.75","19",36,9,-1,-1,1305,1303,1379,363,363,"Betriebsunterbrechungen bzw. -ausfälle länger als 1 Arbeitswoche (Weiterbestand/Sanierung des restlichen Gebäudes 161 (inkl. den Räumlichkeiten für 3 SPECT/CT, 1 PET/CT) - Eingangsbereich 161","Risiko",61,"Vorprojekt Kopfzentrum Klinikum Klagenfurt",20,"classic","PF2",1305,561,"classic","27.09.2022",2,"02.09.2022","17.08.2022","16.09.2022",1,1,"","	- Zwischenaussiedelung der Schilddrüsenambulanz zur Baufeldfeimachung <br>- zusätzliches Baufeld wird benötigt","	- Gefährdung der Patietnt:innen-Sicherheit (onkologisch) <br>- Nicht-Erfüllung des Versorgungsauftrages <br>- Mehrkosten  <br>- Mehrbedarf Personalressourcen <br>- länger Bauzeit <br>- keine Nachnutzung",85,115,64,76,"Grid33",2,2,1,1,FALSE,FALSE,NA,30,12,7.5,3,360,84,42,100,70,2,1,"Grid12",50,50,21.25,28.75,16,19,7.5,3,10.5,22.5,21,25,17.5
"65",346,346,139331,17,4,4,"53.75","65","58","69.75",64,16,-1,-1,1307,1379,1381,365,365,"Schulungs- und Einführungsaufwand","Risiko",61,"Vorprojekt Kopfzentrum Klinikum Klagenfurt",22,"classic","PF4",1307,561,"classic","27.09.2022",2,"02.09.2022","17.08.2022","16.09.2022",1,1,"","	- neuartige Technologien <br>- Verfahren <br>- Prozesse <br>- Materialien","	- Personalmehraufwand",215,232,260,279,"Grid44",3,3,4,4,TRUE,FALSE,NA,17,19,4.25,4.75,323,72,36,223.5,269.5,3,4,"Grid43",70,70,53.75,58,65,69.75,4.25,4.75,9,20.1875,18,55.875,67.375
"73",346,346,139339,21,2,4,"17.75","15.25","23.25","18",32,8,-1,-1,1309,1331,1311,281,281,"zusätzlicher Betrieb leer stehender Gebäude","Risiko",61,"Vorprojekt Kopfzentrum Klinikum Klagenfurt",26,"classic","PF8",1309,561,"classic","27.09.2022",2,"02.09.2022","17.08.2022","16.09.2022",1,1,"","	- kein Abriss","	- Mehrkosten",71,93,61,72,"Grid42",1,2,1,1,FALSE,TRUE,NA,22,11,5.5,2.75,242,66,33,82,66.5,2,1,"Grid12",30,70,17.75,23.25,15.25,18,5.5,2.75,8.25,15.125,16.5,20.5,16.625
"75",346,346,139341,13,3,5,"35.25","48.75","44","51.75",60,15,-1,-1,1311,1309,1313,282,282,"keine Berücksichtigung der Veränderung der medizinischen Standards von der Planung bis zur Fertigstellung (ca. 6 Jahre)","Risiko",61,"Vorprojekt Kopfzentrum Klinikum Klagenfurt",27,"classic","PF9",1311,561,"classic","27.09.2022",2,"02.09.2022","17.08.2022","16.09.2022",1,1,"","medizinische Weiterentwicklung und Innovationen in der Zukunft können nicht berücksichtigt werden","",141,176,195,207,"Grid53",2,3,3,3,FALSE,TRUE,NA,35,12,8.75,3,420,94,47,158.5,201,2,3,"Grid32",50,90,35.25,44,48.75,51.75,8.75,3,11.75,26.25,23.5,39.625,50.25
"77",346,346,139343,16,2,3,"50","49.25","54","53.5",24,6,-1,-1,1313,1311,1315,283,283,"keine ausreichende Berücksichtigung von Kapazitäten, Zeit, Kosten in der Planung der Übersiedelung während der Bauphase","Risiko",61,"Vorprojekt Kopfzentrum Klinikum Klagenfurt",28,"classic","PF10",1313,561,"classic","27.09.2022",2,"02.09.2022","17.08.2022","16.09.2022",1,1,"","","	- Projektkosten können nicht eingehalten werden / werden wesentlich überschritten <br>- verzögerte Inbetriebnahme",200,216,197,214,"Grid32",3,3,3,3,TRUE,FALSE,NA,16,17,4,4.25,272,66,33,208,205.5,3,3,"Grid33",30,50,50,54,49.25,53.5,4,4.25,8.25,17,16.5,52,51.375
"81",346,346,139347,11,3,3,"54.5","58.75","60","62.75",36,9,-1,-1,1317,1315,1319,285,285,"negative Auswirkung und Beeinflussung des angrenzenden (laufenden) Betriebs","Risiko",61,"Vorprojekt Kopfzentrum Klinikum Klagenfurt",30,"classic","PF12",1317,561,"classic","27.09.2022",2,"02.09.2022","17.08.2022","16.09.2022",1,1,"","	- Nähe zum Baufeld (Erschütterungen, Lärm, Staub) <br>- keine adäquate Baufeldabgrenzung","	- Einschränkgung im Bereich (z. B. Nukl.Med., Notfallaufnahmen, Zufahrt) <br>- klinische Abläufe <br>- Patient:innen- und Mitarbeiter:innensicherheit und -zufriedenheit <br>- Gerätesicherheit <br>- Hygiene <br>- Logistik <br>- Brandschutz uvm.",218,240,235,251,"Grid33",3,4,3,4,TRUE,TRUE,NA,22,16,5.5,4,352,76,38,229,243,3,4,"Grid43",50,50,54.5,60,58.75,62.75,5.5,4,9.5,22,19,57.25,60.75
"83",346,346,139349,26,3,3,"76.75","13","84.75","17.5",36,9,-1,-1,1319,1317,1383,286,286,"Neu-Bewilligungen werden notwendig","Risiko",61,"Vorprojekt Kopfzentrum Klinikum Klagenfurt",31,"classic","PF13",1319,561,"classic","27.09.2022",2,"02.09.2022","17.08.2022","16.09.2022",1,1,"","	- Abrisse","hohe Anforderungen mach Schließungen von Gebäuden notwendig",307,339,52,70,"Grid33",4,5,1,1,FALSE,FALSE,NA,32,18,8,4.5,576,100,50,323,61,5,1,"Grid15",50,50,76.75,84.75,13,17.5,8,4.5,12.5,36,25,80.75,15.25
