"","MatrixGrid","MatrixSum"
"147","PIXEL146/400",0
"148","PIXEL147/400",0
"149","PIXEL148/400",0
"150","PIXEL149/400",0
"151","PIXEL150/400",0
"152","PIXEL151/400",0
"153","PIXEL152/400",0
"154","PIXEL153/400",0
"155","PIXEL154/400",0
"156","PIXEL155/400",0
"157","PIXEL156/400",0
"158","PIXEL157/400",0
"159","PIXEL158/400",0
"160","PIXEL159/400",0
"161","PIXEL160/400",0
"162","PIXEL161/400",0
"163","PIXEL162/400",0
"164","PIXEL163/400",0
"165","PIXEL164/400",0
"166","PIXEL165/400",0
"167","PIXEL166/400",0
"168","PIXEL167/400",0
"169","PIXEL168/400",0
"170","PIXEL169/400",0
"171","PIXEL170/400",0
"172","PIXEL171/400",0
"173","PIXEL172/400",0
"174","PIXEL173/400",0
"175","PIXEL174/400",0
"176","PIXEL175/400",0
"177","PIXEL176/400",0
"178","PIXEL177/400",0
"179","PIXEL178/400",0
"180","PIXEL179/400",0
"181","PIXEL180/400",0
"182","PIXEL181/400",0
"183","PIXEL182/400",0
"184","PIXEL183/400",0
"185","PIXEL184/400",0
"186","PIXEL185/400",0
"187","PIXEL186/400",0
"188","PIXEL187/400",0
"189","PIXEL188/400",0
"190","PIXEL189/400",0
"191","PIXEL190/400",0
"192","PIXEL191/400",0
"193","PIXEL192/400",0
"194","PIXEL193/400",0
"195","PIXEL194/400",0
"196","PIXEL195/400",0
"197","PIXEL196/400",0
"198","PIXEL197/400",0
"199","PIXEL198/400",0
"200","PIXEL199/400",0
"201","PIXEL200/400",0
"202","PIXEL201/400",0
"203","PIXEL202/400",0
"204","PIXEL203/400",0
"205","PIXEL204/400",0
"206","PIXEL205/400",0
"207","PIXEL206/400",0
"208","PIXEL207/400",0
"209","PIXEL208/400",0
"210","PIXEL209/400",0
"211","PIXEL210/400",0
"212","PIXEL211/400",0
"213","PIXEL212/400",0
"214","PIXEL213/400",0
"215","PIXEL214/400",0
"216","PIXEL215/400",0
"217","PIXEL216/400",0
"218","PIXEL217/400",0
"219","PIXEL218/400",0
"220","PIXEL219/400",0
"221","PIXEL220/400",0
"222","PIXEL221/400",0
"223","PIXEL222/400",0
"224","PIXEL223/400",0
"225","PIXEL224/400",0
"226","PIXEL225/400",0
"227","PIXEL226/400",0
"228","PIXEL227/400",0
"229","PIXEL228/400",0
"230","PIXEL229/400",0
"231","PIXEL230/400",0
"232","PIXEL231/400",0
"233","PIXEL232/400",0
"234","PIXEL233/400",0
"235","PIXEL234/400",0
"236","PIXEL235/400",0
"237","PIXEL236/400",0
"238","PIXEL237/400",0
"239","PIXEL238/400",0
"240","PIXEL239/400",0
"241","PIXEL240/400",0
"242","PIXEL241/400",0
"243","PIXEL242/400",0
"244","PIXEL243/400",0
"245","PIXEL244/400",0
"246","PIXEL245/400",0
"247","PIXEL246/400",0
"248","PIXEL247/400",0
"249","PIXEL248/400",0
"250","PIXEL249/400",0
"251","PIXEL250/400",0
"252","PIXEL251/400",0
"253","PIXEL252/400",0
"254","PIXEL253/400",0
"255","PIXEL254/400",0
"256","PIXEL255/400",0
"257","PIXEL256/400",0
"258","PIXEL257/400",0
"259","PIXEL258/400",0
"260","PIXEL259/400",0
"261","PIXEL260/400",0
"262","PIXEL261/400",0
"263","PIXEL262/400",0
"264","PIXEL263/400",0
"265","PIXEL264/400",0
"266","PIXEL265/400",0
"267","PIXEL266/400",0
"268","PIXEL267/400",0
"269","PIXEL268/400",0
"270","PIXEL269/400",0
"271","PIXEL270/400",0
"272","PIXEL271/400",0
"273","PIXEL272/400",0
"274","PIXEL273/400",0
"275","PIXEL274/400",0
"276","PIXEL275/400",0
"277","PIXEL276/400",0
"278","PIXEL277/400",0
"279","PIXEL278/400",0
"280","PIXEL279/400",0
"281","PIXEL280/400",0
"282","PIXEL281/400",0
"283","PIXEL282/400",0
"284","PIXEL283/400",0
"285","PIXEL284/400",0
"286","PIXEL285/400",0
"287","PIXEL286/400",0
"288","PIXEL287/400",0
"289","PIXEL288/400",0
"290","PIXEL289/400",0
"291","PIXEL290/400",0
"292","PIXEL291/400",0
"293","PIXEL292/400",0
"294","PIXEL293/400",0
"295","PIXEL294/400",0
"296","PIXEL295/400",0
"297","PIXEL296/400",0
"298","PIXEL297/400",0
"299","PIXEL298/400",0
"300","PIXEL299/400",0
"301","PIXEL300/400",0
"302","PIXEL301/400",0
"303","PIXEL302/400",0
"304","PIXEL303/400",0
"305","PIXEL304/400",0
"306","PIXEL305/400",0
"307","PIXEL306/400",0
"308","PIXEL307/400",0
"309","PIXEL308/400",0
"310","PIXEL309/400",0
"311","PIXEL310/400",0
"312","PIXEL311/400",0
"313","PIXEL312/400",0
"314","PIXEL313/400",0
"315","PIXEL314/400",0
"316","PIXEL315/400",0
"317","PIXEL316/400",0
"318","PIXEL317/400",0
"319","PIXEL318/400",0
"320","PIXEL319/400",0
"321","PIXEL320/400",0
"322","PIXEL321/400",0
"323","PIXEL322/400",0
"324","PIXEL323/400",0
"325","PIXEL324/400",0
"326","PIXEL325/400",0
"327","PIXEL326/400",0
"328","PIXEL327/400",0
"329","PIXEL328/400",0
"330","PIXEL329/400",0
"331","PIXEL330/400",0
"332","PIXEL331/400",0
"333","PIXEL332/400",0
"334","PIXEL333/400",0
"335","PIXEL334/400",0
"336","PIXEL335/400",0
"337","PIXEL336/400",0
"338","PIXEL337/400",0
"339","PIXEL338/400",0
"340","PIXEL339/400",0
"341","PIXEL340/400",0
"342","PIXEL341/400",0
"343","PIXEL342/400",0
"344","PIXEL343/400",0
"345","PIXEL344/400",0
"346","PIXEL345/400",0
"347","PIXEL346/400",0
"348","PIXEL347/400",0
"349","PIXEL348/400",0
"350","PIXEL349/400",0
"351","PIXEL350/400",0
"352","PIXEL351/400",0
"353","PIXEL352/400",0
"354","PIXEL353/400",0
"355","PIXEL354/400",0
"356","PIXEL355/400",0
"357","PIXEL356/400",0
"358","PIXEL357/400",0
"359","PIXEL358/400",0
"360","PIXEL359/400",0
"361","PIXEL360/400",0
"362","PIXEL361/400",0
"363","PIXEL362/400",0
"364","PIXEL363/400",0
"365","PIXEL364/400",0
"366","PIXEL365/400",0
"367","PIXEL366/400",0
"368","PIXEL367/400",0
"369","PIXEL368/400",0
"370","PIXEL369/400",0
"371","PIXEL370/400",0
"372","PIXEL371/400",0
"373","PIXEL372/400",0
"374","PIXEL373/400",0
"375","PIXEL374/400",0
"376","PIXEL375/400",0
"377","PIXEL376/400",0
"378","PIXEL377/400",0
"379","PIXEL378/400",0
"380","PIXEL379/400",0
"381","PIXEL380/400",0
"382","PIXEL381/400",0
"383","PIXEL382/400",0
"384","PIXEL383/400",0
"385","PIXEL384/400",0
"386","PIXEL385/400",0
"387","PIXEL386/400",0
"388","PIXEL387/400",0
"389","PIXEL388/400",0
"390","PIXEL389/400",0
"391","PIXEL390/400",0
"392","PIXEL391/400",0
"393","PIXEL392/400",0
"394","PIXEL393/400",0
"395","PIXEL394/400",0
"396","PIXEL395/400",0
"397","PIXEL396/400",0
"398","PIXEL397/400",0
"399","PIXEL398/400",0
"400","PIXEL399/400",0
"401","PIXEL400/400",0
"402","PIXEL0/399",0
"403","PIXEL1/399",0
"404","PIXEL2/399",0
"405","PIXEL3/399",0
"406","PIXEL4/399",0
"407","PIXEL5/399",0
"408","PIXEL6/399",0
"409","PIXEL7/399",0
"410","PIXEL8/399",0
"411","PIXEL9/399",0
"412","PIXEL10/399",0
"413","PIXEL11/399",0
"414","PIXEL12/399",0
"415","PIXEL13/399",0
"416","PIXEL14/399",0
"417","PIXEL15/399",0
"418","PIXEL16/399",0
"419","PIXEL17/399",0
"420","PIXEL18/399",0
"421","PIXEL19/399",0
"422","PIXEL20/399",0
"423","PIXEL21/399",0
"424","PIXEL22/399",0
"425","PIXEL23/399",0
"426","PIXEL24/399",0
"427","PIXEL25/399",0
"428","PIXEL26/399",0
"429","PIXEL27/399",0
"430","PIXEL28/399",0
"431","PIXEL29/399",0
"432","PIXEL30/399",0
"433","PIXEL31/399",0
"434","PIXEL32/399",0
"435","PIXEL33/399",0
"436","PIXEL34/399",0
"437","PIXEL35/399",0
"438","PIXEL36/399",0
"439","PIXEL37/399",0
"440","PIXEL38/399",0
"441","PIXEL39/399",0
"442","PIXEL40/399",0
"443","PIXEL41/399",0
"444","PIXEL42/399",0
"445","PIXEL43/399",0
"446","PIXEL44/399",0
"447","PIXEL45/399",0
"448","PIXEL46/399",0
"449","PIXEL47/399",0
"450","PIXEL48/399",0
"451","PIXEL49/399",0
"452","PIXEL50/399",0
"453","PIXEL51/399",0
"454","PIXEL52/399",0
"455","PIXEL53/399",0
"456","PIXEL54/399",0
"457","PIXEL55/399",0
"458","PIXEL56/399",0
"459","PIXEL57/399",0
"460","PIXEL58/399",0
"461","PIXEL59/399",0
"462","PIXEL60/399",0
"463","PIXEL61/399",0
"464","PIXEL62/399",0
"465","PIXEL63/399",0
"466","PIXEL64/399",0
"467","PIXEL65/399",0
"468","PIXEL66/399",0
"469","PIXEL67/399",0
"470","PIXEL68/399",0
"471","PIXEL69/399",0
"472","PIXEL70/399",0
"473","PIXEL71/399",0
"474","PIXEL72/399",0
"475","PIXEL73/399",0
"476","PIXEL74/399",0
"477","PIXEL75/399",0
"478","PIXEL76/399",0
"479","PIXEL77/399",0
"480","PIXEL78/399",0
"481","PIXEL79/399",0
"482","PIXEL80/399",0
"483","PIXEL81/399",0
"484","PIXEL82/399",0
"485","PIXEL83/399",0
"486","PIXEL84/399",0
"487","PIXEL85/399",0
"488","PIXEL86/399",0
"489","PIXEL87/399",0
"490","PIXEL88/399",0
"491","PIXEL89/399",0
"492","PIXEL90/399",0
"493","PIXEL91/399",0
"494","PIXEL92/399",0
"495","PIXEL93/399",0
"496","PIXEL94/399",0
"497","PIXEL95/399",0
"498","PIXEL96/399",0
"499","PIXEL97/399",0
"500","PIXEL98/399",0
"501","PIXEL99/399",0
"502","PIXEL100/399",0
"503","PIXEL101/399",0
"504","PIXEL102/399",0
"505","PIXEL103/399",0
"506","PIXEL104/399",0
"507","PIXEL105/399",0
"508","PIXEL106/399",0
"509","PIXEL107/399",0
"510","PIXEL108/399",0
"511","PIXEL109/399",0
"512","PIXEL110/399",0
"513","PIXEL111/399",0
"514","PIXEL112/399",0
"515","PIXEL113/399",0
"516","PIXEL114/399",0
"517","PIXEL115/399",0
"518","PIXEL116/399",0
"519","PIXEL117/399",0
"520","PIXEL118/399",0
"521","PIXEL119/399",0
"522","PIXEL120/399",0
"523","PIXEL121/399",0
"524","PIXEL122/399",0
"525","PIXEL123/399",0
"526","PIXEL124/399",0
"527","PIXEL125/399",0
"528","PIXEL126/399",0
"529","PIXEL127/399",0
"530","PIXEL128/399",0
"531","PIXEL129/399",0
"532","PIXEL130/399",0
"533","PIXEL131/399",0
"534","PIXEL132/399",0
"535","PIXEL133/399",0
"536","PIXEL134/399",0
"537","PIXEL135/399",0
"538","PIXEL136/399",0
"539","PIXEL137/399",0
"540","PIXEL138/399",0
"541","PIXEL139/399",0
"542","PIXEL140/399",0
"543","PIXEL141/399",0
"544","PIXEL142/399",0
"545","PIXEL143/399",0
"546","PIXEL144/399",0
"547","PIXEL145/399",0
"548","PIXEL146/399",0
"549","PIXEL147/399",0
"550","PIXEL148/399",0
"551","PIXEL149/399",0
"552","PIXEL150/399",0
"553","PIXEL151/399",0
"554","PIXEL152/399",0
"555","PIXEL153/399",0
"556","PIXEL154/399",0
"557","PIXEL155/399",0
"558","PIXEL156/399",0
"559","PIXEL157/399",0
"560","PIXEL158/399",0
"561","PIXEL159/399",0
"562","PIXEL160/399",0
"563","PIXEL161/399",0
"564","PIXEL162/399",0
"565","PIXEL163/399",0
"566","PIXEL164/399",0
"567","PIXEL165/399",0
"568","PIXEL166/399",0
"569","PIXEL167/399",0
"570","PIXEL168/399",0
"571","PIXEL169/399",0
"572","PIXEL170/399",0
"573","PIXEL171/399",0
"574","PIXEL172/399",0
"575","PIXEL173/399",0
"576","PIXEL174/399",0
"577","PIXEL175/399",0
"578","PIXEL176/399",0
"579","PIXEL177/399",0
"580","PIXEL178/399",0
"581","PIXEL179/399",0
"582","PIXEL180/399",0
"583","PIXEL181/399",0
"584","PIXEL182/399",0
"585","PIXEL183/399",0
"586","PIXEL184/399",0
"587","PIXEL185/399",0
"588","PIXEL186/399",0
"589","PIXEL187/399",0
"590","PIXEL188/399",0
"591","PIXEL189/399",0
"592","PIXEL190/399",0
"593","PIXEL191/399",0
"594","PIXEL192/399",0
"595","PIXEL193/399",0
"596","PIXEL194/399",0
"597","PIXEL195/399",0
"598","PIXEL196/399",0
"599","PIXEL197/399",0
"600","PIXEL198/399",0
"601","PIXEL199/399",0
"602","PIXEL200/399",0
"603","PIXEL201/399",0
"604","PIXEL202/399",0
"605","PIXEL203/399",0
"606","PIXEL204/399",0
"607","PIXEL205/399",0
"608","PIXEL206/399",0
"609","PIXEL207/399",0
"610","PIXEL208/399",0
"611","PIXEL209/399",0
"612","PIXEL210/399",0
"613","PIXEL211/399",0
"614","PIXEL212/399",0
"615","PIXEL213/399",0
"616","PIXEL214/399",0
"617","PIXEL215/399",0
"618","PIXEL216/399",0
"619","PIXEL217/399",0
"620","PIXEL218/399",0
"621","PIXEL219/399",0
"622","PIXEL220/399",0
"623","PIXEL221/399",0
"624","PIXEL222/399",0
"625","PIXEL223/399",0
"626","PIXEL224/399",0
"627","PIXEL225/399",0
"628","PIXEL226/399",0
"629","PIXEL227/399",0
"630","PIXEL228/399",0
"631","PIXEL229/399",0
"632","PIXEL230/399",0
"633","PIXEL231/399",0
"634","PIXEL232/399",0
"635","PIXEL233/399",0
"636","PIXEL234/399",0
"637","PIXEL235/399",0
"638","PIXEL236/399",0
"639","PIXEL237/399",0
"640","PIXEL238/399",0
"641","PIXEL239/399",0
"642","PIXEL240/399",0
"643","PIXEL241/399",0
"644","PIXEL242/399",0
"645","PIXEL243/399",0
"646","PIXEL244/399",0
"647","PIXEL245/399",0
"648","PIXEL246/399",0
"649","PIXEL247/399",0
"650","PIXEL248/399",0
"651","PIXEL249/399",0
"652","PIXEL250/399",0
"653","PIXEL251/399",0
"654","PIXEL252/399",0
"655","PIXEL253/399",0
"656","PIXEL254/399",0
"657","PIXEL255/399",0
"658","PIXEL256/399",0
"659","PIXEL257/399",0
"660","PIXEL258/399",0
"661","PIXEL259/399",0
"662","PIXEL260/399",0
"663","PIXEL261/399",0
"664","PIXEL262/399",0
"665","PIXEL263/399",0
"666","PIXEL264/399",0
"667","PIXEL265/399",0
"668","PIXEL266/399",0
"669","PIXEL267/399",0
"670","PIXEL268/399",0
"671","PIXEL269/399",0
"672","PIXEL270/399",0
"673","PIXEL271/399",0
"674","PIXEL272/399",0
"675","PIXEL273/399",0
"676","PIXEL274/399",0
"677","PIXEL275/399",0
"678","PIXEL276/399",0
"679","PIXEL277/399",0
"680","PIXEL278/399",0
"681","PIXEL279/399",0
"682","PIXEL280/399",0
"683","PIXEL281/399",0
"684","PIXEL282/399",0
"685","PIXEL283/399",0
"686","PIXEL284/399",0
"687","PIXEL285/399",0
"688","PIXEL286/399",0
"689","PIXEL287/399",0
"690","PIXEL288/399",0
"691","PIXEL289/399",0
"692","PIXEL290/399",0
"693","PIXEL291/399",0
"694","PIXEL292/399",0
"695","PIXEL293/399",0
"696","PIXEL294/399",0
"697","PIXEL295/399",0
"698","PIXEL296/399",0
"699","PIXEL297/399",0
"700","PIXEL298/399",0
"701","PIXEL299/399",0
"702","PIXEL300/399",0
"703","PIXEL301/399",0
"704","PIXEL302/399",0
"705","PIXEL303/399",0
"706","PIXEL304/399",0
"707","PIXEL305/399",0
"708","PIXEL306/399",0
"709","PIXEL307/399",0
"710","PIXEL308/399",0
"711","PIXEL309/399",0
"712","PIXEL310/399",0
"713","PIXEL311/399",0
"714","PIXEL312/399",0
"715","PIXEL313/399",0
"716","PIXEL314/399",0
"717","PIXEL315/399",0
"718","PIXEL316/399",0
"719","PIXEL317/399",0
"720","PIXEL318/399",0
"721","PIXEL319/399",0
"722","PIXEL320/399",0
"723","PIXEL321/399",0
"724","PIXEL322/399",0
"725","PIXEL323/399",0
"726","PIXEL324/399",0
"727","PIXEL325/399",0
"728","PIXEL326/399",0
"729","PIXEL327/399",0
"730","PIXEL328/399",0
"731","PIXEL329/399",0
"732","PIXEL330/399",0
"733","PIXEL331/399",0
"734","PIXEL332/399",0
"735","PIXEL333/399",0
"736","PIXEL334/399",0
"737","PIXEL335/399",0
"738","PIXEL336/399",0
"739","PIXEL337/399",0
"740","PIXEL338/399",0
"741","PIXEL339/399",0
"742","PIXEL340/399",0
"743","PIXEL341/399",0
"744","PIXEL342/399",0
"745","PIXEL343/399",0
"746","PIXEL344/399",0
"747","PIXEL345/399",0
"748","PIXEL346/399",0
"749","PIXEL347/399",0
"750","PIXEL348/399",0
"751","PIXEL349/399",0
"752","PIXEL350/399",0
"753","PIXEL351/399",0
"754","PIXEL352/399",0
"755","PIXEL353/399",0
"756","PIXEL354/399",0
"757","PIXEL355/399",0
"758","PIXEL356/399",0
"759","PIXEL357/399",0
"760","PIXEL358/399",0
"761","PIXEL359/399",0
"762","PIXEL360/399",0
"763","PIXEL361/399",0
"764","PIXEL362/399",0
"765","PIXEL363/399",0
"766","PIXEL364/399",0
"767","PIXEL365/399",0
"768","PIXEL366/399",0
"769","PIXEL367/399",0
"770","PIXEL368/399",0
"771","PIXEL369/399",0
"772","PIXEL370/399",0
"773","PIXEL371/399",0
"774","PIXEL372/399",0
"775","PIXEL373/399",0
"776","PIXEL374/399",0
"777","PIXEL375/399",0
"778","PIXEL376/399",0
"779","PIXEL377/399",0
"780","PIXEL378/399",0
"781","PIXEL379/399",0
"782","PIXEL380/399",0
"783","PIXEL381/399",0
"784","PIXEL382/399",0
"785","PIXEL383/399",0
"786","PIXEL384/399",0
"787","PIXEL385/399",0
"788","PIXEL386/399",0
"789","PIXEL387/399",0
"790","PIXEL388/399",0
"791","PIXEL389/399",0
"792","PIXEL390/399",0
"793","PIXEL391/399",0
"794","PIXEL392/399",0
"795","PIXEL393/399",0
"796","PIXEL394/399",0
"797","PIXEL395/399",0
"798","PIXEL396/399",0
"799","PIXEL397/399",0
"800","PIXEL398/399",0
"801","PIXEL399/399",0
"802","PIXEL400/399",0
"803","PIXEL0/398",0
"804","PIXEL1/398",0
"805","PIXEL2/398",0
"806","PIXEL3/398",0
"807","PIXEL4/398",0
"808","PIXEL5/398",0
"809","PIXEL6/398",0
"810","PIXEL7/398",0
"811","PIXEL8/398",0
"812","PIXEL9/398",0
"813","PIXEL10/398",0
"814","PIXEL11/398",0
"815","PIXEL12/398",0
"816","PIXEL13/398",0
"817","PIXEL14/398",0
"818","PIXEL15/398",0
"819","PIXEL16/398",0
"820","PIXEL17/398",0
"821","PIXEL18/398",0
"822","PIXEL19/398",0
"823","PIXEL20/398",0
"824","PIXEL21/398",0
"825","PIXEL22/398",0
"826","PIXEL23/398",0
"827","PIXEL24/398",0
"828","PIXEL25/398",0
"829","PIXEL26/398",0
"830","PIXEL27/398",0
"831","PIXEL28/398",0
"832","PIXEL29/398",0
"833","PIXEL30/398",0
"834","PIXEL31/398",0
"835","PIXEL32/398",0
"836","PIXEL33/398",0
"837","PIXEL34/398",0
"838","PIXEL35/398",0
"839","PIXEL36/398",0
"840","PIXEL37/398",0
"841","PIXEL38/398",0
"842","PIXEL39/398",0
"843","PIXEL40/398",0
"844","PIXEL41/398",0
"845","PIXEL42/398",0
"846","PIXEL43/398",0
"847","PIXEL44/398",0
"848","PIXEL45/398",0
"849","PIXEL46/398",0
"850","PIXEL47/398",0
"851","PIXEL48/398",0
"852","PIXEL49/398",0
"853","PIXEL50/398",0
"854","PIXEL51/398",0
"855","PIXEL52/398",0
"856","PIXEL53/398",0
"857","PIXEL54/398",0
"858","PIXEL55/398",0
"859","PIXEL56/398",0
"860","PIXEL57/398",0
"861","PIXEL58/398",0
"862","PIXEL59/398",0
"863","PIXEL60/398",0
"864","PIXEL61/398",0
"865","PIXEL62/398",0
"866","PIXEL63/398",0
"867","PIXEL64/398",0
"868","PIXEL65/398",0
"869","PIXEL66/398",0
"870","PIXEL67/398",0
"871","PIXEL68/398",0
"872","PIXEL69/398",0
"873","PIXEL70/398",0
"874","PIXEL71/398",0
"875","PIXEL72/398",0
"876","PIXEL73/398",0
"877","PIXEL74/398",0
"878","PIXEL75/398",0
"879","PIXEL76/398",0
"880","PIXEL77/398",0
"881","PIXEL78/398",0
"882","PIXEL79/398",0
"883","PIXEL80/398",0
"884","PIXEL81/398",0
"885","PIXEL82/398",0
"886","PIXEL83/398",0
"887","PIXEL84/398",0
"888","PIXEL85/398",0
"889","PIXEL86/398",0
"890","PIXEL87/398",0
"891","PIXEL88/398",0
"892","PIXEL89/398",0
"893","PIXEL90/398",0
"894","PIXEL91/398",0
"895","PIXEL92/398",0
"896","PIXEL93/398",0
"897","PIXEL94/398",0
"898","PIXEL95/398",0
"899","PIXEL96/398",0
"900","PIXEL97/398",0
"901","PIXEL98/398",0
"902","PIXEL99/398",0
"903","PIXEL100/398",0
"904","PIXEL101/398",0
"905","PIXEL102/398",0
"906","PIXEL103/398",0
"907","PIXEL104/398",0
"908","PIXEL105/398",0
"909","PIXEL106/398",0
"910","PIXEL107/398",0
"911","PIXEL108/398",0
"912","PIXEL109/398",0
"913","PIXEL110/398",0
"914","PIXEL111/398",0
"915","PIXEL112/398",0
"916","PIXEL113/398",0
"917","PIXEL114/398",0
"918","PIXEL115/398",0
"919","PIXEL116/398",0
"920","PIXEL117/398",0
"921","PIXEL118/398",0
"922","PIXEL119/398",0
"923","PIXEL120/398",0
"924","PIXEL121/398",0
"925","PIXEL122/398",0
"926","PIXEL123/398",0
"927","PIXEL124/398",0
"928","PIXEL125/398",0
"929","PIXEL126/398",0
"930","PIXEL127/398",0
"931","PIXEL128/398",0
"932","PIXEL129/398",0
"933","PIXEL130/398",0
"934","PIXEL131/398",0
"935","PIXEL132/398",0
"936","PIXEL133/398",0
"937","PIXEL134/398",0
"938","PIXEL135/398",0
"939","PIXEL136/398",0
"940","PIXEL137/398",0
"941","PIXEL138/398",0
"942","PIXEL139/398",0
"943","PIXEL140/398",0
"944","PIXEL141/398",0
"945","PIXEL142/398",0
"946","PIXEL143/398",0
"947","PIXEL144/398",0
"948","PIXEL145/398",0
"949","PIXEL146/398",0
"950","PIXEL147/398",0
"951","PIXEL148/398",0
"952","PIXEL149/398",0
"953","PIXEL150/398",0
"954","PIXEL151/398",0
"955","PIXEL152/398",0
"956","PIXEL153/398",0
"957","PIXEL154/398",0
"958","PIXEL155/398",0
"959","PIXEL156/398",0
"960","PIXEL157/398",0
"961","PIXEL158/398",0
"962","PIXEL159/398",0
"963","PIXEL160/398",0
"964","PIXEL161/398",0
"965","PIXEL162/398",0
"966","PIXEL163/398",0
"967","PIXEL164/398",0
"968","PIXEL165/398",0
"969","PIXEL166/398",0
"970","PIXEL167/398",0
"971","PIXEL168/398",0
"972","PIXEL169/398",0
"973","PIXEL170/398",0
"974","PIXEL171/398",0
"975","PIXEL172/398",0
"976","PIXEL173/398",0
"977","PIXEL174/398",0
"978","PIXEL175/398",0
"979","PIXEL176/398",0
"980","PIXEL177/398",0
"981","PIXEL178/398",0
"982","PIXEL179/398",0
"983","PIXEL180/398",0
"984","PIXEL181/398",0
"985","PIXEL182/398",0
"986","PIXEL183/398",0
"987","PIXEL184/398",0
"988","PIXEL185/398",0
"989","PIXEL186/398",0
"990","PIXEL187/398",0
"991","PIXEL188/398",0
"992","PIXEL189/398",0
"993","PIXEL190/398",0
"994","PIXEL191/398",0
"995","PIXEL192/398",0
"996","PIXEL193/398",0
"997","PIXEL194/398",0
