"","Grid","count"
"187","PIXEL100/283",1
"188","PIXEL100/284",1
"189","PIXEL100/285",1
"190","PIXEL100/286",1
"191","PIXEL100/29",1
"192","PIXEL100/293",1
"193","PIXEL100/294",1
"194","PIXEL100/295",1
"195","PIXEL100/296",1
"196","PIXEL100/297",1
"197","PIXEL100/298",1
"198","PIXEL100/299",2
"199","PIXEL100/30",1
"200","PIXEL100/300",2
"201","PIXEL100/301",2
"202","PIXEL100/302",2
"203","PIXEL100/303",2
"204","PIXEL100/304",2
"205","PIXEL100/305",2
"206","PIXEL100/306",2
"207","PIXEL100/307",2
"208","PIXEL100/308",2
"209","PIXEL100/309",2
"210","PIXEL100/31",1
"211","PIXEL100/310",2
"212","PIXEL100/311",2
"213","PIXEL100/312",2
"214","PIXEL100/313",2
"215","PIXEL100/314",2
"216","PIXEL100/315",2
"217","PIXEL100/316",2
"218","PIXEL100/317",2
"219","PIXEL100/318",3
"220","PIXEL100/319",3
"221","PIXEL100/32",1
"222","PIXEL100/320",3
"223","PIXEL100/321",2
"224","PIXEL100/322",2
"225","PIXEL100/323",2
"226","PIXEL100/324",3
"227","PIXEL100/325",3
"228","PIXEL100/326",3
"229","PIXEL100/327",3
"230","PIXEL100/328",4
"231","PIXEL100/329",4
"232","PIXEL100/33",1
"233","PIXEL100/330",4
"234","PIXEL100/331",4
"235","PIXEL100/332",4
"236","PIXEL100/333",4
"237","PIXEL100/334",4
"238","PIXEL100/335",4
"239","PIXEL100/336",4
"240","PIXEL100/337",4
"241","PIXEL100/338",4
"242","PIXEL100/339",4
"243","PIXEL100/34",1
"244","PIXEL100/340",4
"245","PIXEL100/341",4
"246","PIXEL100/342",4
"247","PIXEL100/343",4
"248","PIXEL100/344",4
"249","PIXEL100/345",4
"250","PIXEL100/346",4
"251","PIXEL100/347",4
"252","PIXEL100/348",4
"253","PIXEL100/349",4
"254","PIXEL100/35",1
"255","PIXEL100/350",4
"256","PIXEL100/351",4
"257","PIXEL100/352",4
"258","PIXEL100/353",4
"259","PIXEL100/354",4
"260","PIXEL100/355",4
"261","PIXEL100/356",4
"262","PIXEL100/357",4
"263","PIXEL100/358",4
"264","PIXEL100/359",4
"265","PIXEL100/36",1
"266","PIXEL100/360",4
"267","PIXEL100/361",4
"268","PIXEL100/362",4
"269","PIXEL100/363",4
"270","PIXEL100/364",4
"271","PIXEL100/365",4
"272","PIXEL100/366",4
"273","PIXEL100/367",4
"274","PIXEL100/368",4
"275","PIXEL100/369",4
"276","PIXEL100/37",1
"277","PIXEL100/370",4
"278","PIXEL100/371",4
"279","PIXEL100/372",4
"280","PIXEL100/373",3
"281","PIXEL100/374",3
"282","PIXEL100/375",3
"283","PIXEL100/376",3
"284","PIXEL100/377",3
"285","PIXEL100/378",3
"286","PIXEL100/379",3
"287","PIXEL100/38",1
"288","PIXEL100/380",3
"289","PIXEL100/381",3
"290","PIXEL100/382",3
"291","PIXEL100/383",3
"292","PIXEL100/384",2
"293","PIXEL100/385",2
"294","PIXEL100/386",2
"295","PIXEL100/387",1
"296","PIXEL100/388",1
"297","PIXEL100/389",1
"298","PIXEL100/39",1
"299","PIXEL100/390",1
"300","PIXEL100/391",1
"301","PIXEL100/392",1
"302","PIXEL100/393",1
"303","PIXEL100/40",1
"304","PIXEL100/41",1
"305","PIXEL100/42",1
"306","PIXEL100/43",1
"307","PIXEL100/44",1
"308","PIXEL100/45",1
"309","PIXEL100/46",1
"310","PIXEL100/47",1
"311","PIXEL100/48",1
"312","PIXEL100/49",1
"313","PIXEL100/50",1
"314","PIXEL100/51",1
"315","PIXEL100/52",1
"316","PIXEL100/53",1
"317","PIXEL100/54",1
"318","PIXEL100/55",1
"319","PIXEL100/56",1
"320","PIXEL100/57",1
"321","PIXEL100/58",1
"322","PIXEL100/59",1
"323","PIXEL100/60",1
"324","PIXEL100/61",1
"325","PIXEL100/62",1
"326","PIXEL100/63",1
"327","PIXEL100/64",1
"328","PIXEL100/65",1
"329","PIXEL100/66",1
"330","PIXEL100/67",1
"331","PIXEL100/68",1
"332","PIXEL100/69",1
"333","PIXEL100/70",1
"334","PIXEL100/71",1
"335","PIXEL100/72",1
"336","PIXEL100/73",1
"337","PIXEL100/74",1
"338","PIXEL100/75",1
"339","PIXEL101/100",1
"340","PIXEL101/101",1
"341","PIXEL101/102",1
"342","PIXEL101/103",1
"343","PIXEL101/104",1
"344","PIXEL101/105",1
"345","PIXEL101/106",1
"346","PIXEL101/107",1
"347","PIXEL101/108",2
"348","PIXEL101/109",2
"349","PIXEL101/110",2
"350","PIXEL101/111",2
"351","PIXEL101/112",2
"352","PIXEL101/113",2
"353","PIXEL101/114",2
"354","PIXEL101/115",2
"355","PIXEL101/116",2
"356","PIXEL101/117",2
"357","PIXEL101/118",2
"358","PIXEL101/119",2
"359","PIXEL101/120",2
"360","PIXEL101/121",2
"361","PIXEL101/122",2
"362","PIXEL101/123",2
"363","PIXEL101/124",2
"364","PIXEL101/125",3
"365","PIXEL101/126",3
"366","PIXEL101/127",3
"367","PIXEL101/128",3
"368","PIXEL101/129",3
"369","PIXEL101/130",3
"370","PIXEL101/131",3
"371","PIXEL101/132",3
"372","PIXEL101/133",3
"373","PIXEL101/134",3
"374","PIXEL101/135",3
"375","PIXEL101/136",3
"376","PIXEL101/137",3
"377","PIXEL101/138",3
"378","PIXEL101/139",3
"379","PIXEL101/140",3
"380","PIXEL101/141",3
"381","PIXEL101/142",4
"382","PIXEL101/143",4
"383","PIXEL101/144",4
"384","PIXEL101/145",4
"385","PIXEL101/146",4
"386","PIXEL101/147",4
"387","PIXEL101/148",4
"388","PIXEL101/149",4
"389","PIXEL101/150",4
"390","PIXEL101/151",4
"391","PIXEL101/152",4
"392","PIXEL101/153",4
"393","PIXEL101/154",4
"394","PIXEL101/155",4
"395","PIXEL101/156",3
"396","PIXEL101/157",3
"397","PIXEL101/158",3
"398","PIXEL101/159",2
"399","PIXEL101/160",2
"400","PIXEL101/161",2
"401","PIXEL101/162",2
"402","PIXEL101/163",2
"403","PIXEL101/164",3
"404","PIXEL101/165",3
"405","PIXEL101/166",3
"406","PIXEL101/167",3
"407","PIXEL101/168",3
"408","PIXEL101/169",3
"409","PIXEL101/170",3
"410","PIXEL101/171",3
"411","PIXEL101/172",3
"412","PIXEL101/173",3
"413","PIXEL101/174",3
"414","PIXEL101/175",3
"415","PIXEL101/176",3
"416","PIXEL101/177",3
"417","PIXEL101/178",3
"418","PIXEL101/179",3
"419","PIXEL101/180",3
"420","PIXEL101/181",3
"421","PIXEL101/182",3
"422","PIXEL101/183",3
"423","PIXEL101/184",3
"424","PIXEL101/185",3
"425","PIXEL101/186",3
"426","PIXEL101/187",3
"427","PIXEL101/188",3
"428","PIXEL101/189",3
"429","PIXEL101/190",3
"430","PIXEL101/191",3
"431","PIXEL101/192",3
"432","PIXEL101/193",3
"433","PIXEL101/194",3
"434","PIXEL101/195",3
"435","PIXEL101/196",3
"436","PIXEL101/197",3
"437","PIXEL101/198",3
"438","PIXEL101/199",3
"439","PIXEL101/200",2
"440","PIXEL101/201",2
"441","PIXEL101/202",2
"442","PIXEL101/203",2
"443","PIXEL101/204",2
"444","PIXEL101/205",2
"445","PIXEL101/206",2
"446","PIXEL101/207",2
"447","PIXEL101/208",2
"448","PIXEL101/209",2
"449","PIXEL101/210",2
"450","PIXEL101/211",2
"451","PIXEL101/212",2
"452","PIXEL101/213",2
"453","PIXEL101/214",2
"454","PIXEL101/215",2
"455","PIXEL101/216",2
"456","PIXEL101/217",2
"457","PIXEL101/218",2
"458","PIXEL101/219",2
"459","PIXEL101/220",2
"460","PIXEL101/221",2
"461","PIXEL101/222",2
"462","PIXEL101/223",2
"463","PIXEL101/224",2
"464","PIXEL101/225",2
"465","PIXEL101/226",2
"466","PIXEL101/227",2
"467","PIXEL101/228",2
"468","PIXEL101/229",2
"469","PIXEL101/230",2
"470","PIXEL101/231",2
"471","PIXEL101/232",2
"472","PIXEL101/233",2
"473","PIXEL101/234",2
"474","PIXEL101/235",2
"475","PIXEL101/236",2
"476","PIXEL101/237",1
"477","PIXEL101/238",1
"478","PIXEL101/239",1
"479","PIXEL101/240",1
"480","PIXEL101/241",1
"481","PIXEL101/242",1
"482","PIXEL101/243",1
"483","PIXEL101/27",1
"484","PIXEL101/271",1
"485","PIXEL101/272",1
"486","PIXEL101/273",1
"487","PIXEL101/274",1
"488","PIXEL101/275",1
"489","PIXEL101/276",1
"490","PIXEL101/277",1
"491","PIXEL101/278",1
"492","PIXEL101/279",1
"493","PIXEL101/28",1
"494","PIXEL101/280",1
"495","PIXEL101/281",1
"496","PIXEL101/282",1
"497","PIXEL101/283",1
"498","PIXEL101/284",1
"499","PIXEL101/285",1
"500","PIXEL101/286",1
"501","PIXEL101/29",1
"502","PIXEL101/293",1
"503","PIXEL101/294",1
"504","PIXEL101/295",1
"505","PIXEL101/296",1
"506","PIXEL101/297",1
"507","PIXEL101/298",1
"508","PIXEL101/299",2
"509","PIXEL101/30",1
"510","PIXEL101/300",2
"511","PIXEL101/301",2
"512","PIXEL101/302",2
"513","PIXEL101/303",2
"514","PIXEL101/304",2
"515","PIXEL101/305",2
"516","PIXEL101/306",2
"517","PIXEL101/307",2
"518","PIXEL101/308",2
"519","PIXEL101/309",2
"520","PIXEL101/31",1
"521","PIXEL101/310",2
"522","PIXEL101/311",2
"523","PIXEL101/312",2
"524","PIXEL101/313",2
"525","PIXEL101/314",2
"526","PIXEL101/315",2
"527","PIXEL101/316",2
"528","PIXEL101/317",2
"529","PIXEL101/318",3
"530","PIXEL101/319",3
"531","PIXEL101/32",1
"532","PIXEL101/320",3
"533","PIXEL101/321",2
"534","PIXEL101/322",2
"535","PIXEL101/323",2
"536","PIXEL101/324",3
"537","PIXEL101/325",3
"538","PIXEL101/326",3
"539","PIXEL101/327",3
"540","PIXEL101/328",4
"541","PIXEL101/329",4
"542","PIXEL101/33",1
"543","PIXEL101/330",4
"544","PIXEL101/331",4
"545","PIXEL101/332",4
"546","PIXEL101/333",4
"547","PIXEL101/334",4
"548","PIXEL101/335",4
"549","PIXEL101/336",4
"550","PIXEL101/337",4
"551","PIXEL101/338",4
"552","PIXEL101/339",4
"553","PIXEL101/34",1
"554","PIXEL101/340",4
"555","PIXEL101/341",4
"556","PIXEL101/342",4
"557","PIXEL101/343",4
"558","PIXEL101/344",4
"559","PIXEL101/345",4
"560","PIXEL101/346",4
"561","PIXEL101/347",4
"562","PIXEL101/348",4
"563","PIXEL101/349",4
"564","PIXEL101/35",1
"565","PIXEL101/350",4
"566","PIXEL101/351",4
"567","PIXEL101/352",4
"568","PIXEL101/353",4
"569","PIXEL101/354",4
"570","PIXEL101/355",4
"571","PIXEL101/356",4
"572","PIXEL101/357",4
"573","PIXEL101/358",4
"574","PIXEL101/359",4
"575","PIXEL101/36",1
"576","PIXEL101/360",4
"577","PIXEL101/361",4
"578","PIXEL101/362",4
"579","PIXEL101/363",4
"580","PIXEL101/364",4
"581","PIXEL101/365",4
"582","PIXEL101/366",4
"583","PIXEL101/367",4
"584","PIXEL101/368",4
"585","PIXEL101/369",4
"586","PIXEL101/37",1
"587","PIXEL101/370",4
"588","PIXEL101/371",4
"589","PIXEL101/372",4
"590","PIXEL101/373",3
"591","PIXEL101/374",3
"592","PIXEL101/375",3
"593","PIXEL101/376",3
"594","PIXEL101/377",3
"595","PIXEL101/378",3
"596","PIXEL101/379",3
"597","PIXEL101/38",1
"598","PIXEL101/380",3
"599","PIXEL101/381",3
"600","PIXEL101/382",3
"601","PIXEL101/383",3
"602","PIXEL101/384",2
"603","PIXEL101/385",2
"604","PIXEL101/386",2
"605","PIXEL101/387",1
"606","PIXEL101/388",1
"607","PIXEL101/389",1
"608","PIXEL101/39",1
"609","PIXEL101/390",1
"610","PIXEL101/391",1
"611","PIXEL101/392",1
"612","PIXEL101/393",1
"613","PIXEL101/40",1
"614","PIXEL101/41",1
"615","PIXEL101/42",1
"616","PIXEL101/43",1
"617","PIXEL101/44",1
"618","PIXEL101/45",1
"619","PIXEL101/46",1
"620","PIXEL101/47",1
"621","PIXEL101/48",1
"622","PIXEL101/49",1
"623","PIXEL101/50",1
"624","PIXEL101/51",1
"625","PIXEL101/52",1
"626","PIXEL101/53",1
"627","PIXEL101/54",1
"628","PIXEL101/55",1
"629","PIXEL101/56",1
"630","PIXEL101/57",1
"631","PIXEL101/58",1
"632","PIXEL101/59",1
"633","PIXEL101/60",1
"634","PIXEL101/61",1
"635","PIXEL101/62",1
"636","PIXEL101/63",1
"637","PIXEL101/64",1
"638","PIXEL101/65",1
"639","PIXEL101/66",1
"640","PIXEL101/67",1
"641","PIXEL101/68",1
"642","PIXEL101/69",1
"643","PIXEL101/70",1
"644","PIXEL101/71",1
"645","PIXEL101/72",1
"646","PIXEL101/73",1
"647","PIXEL101/74",1
"648","PIXEL101/75",1
"649","PIXEL101/90",1
"650","PIXEL101/91",1
"651","PIXEL101/92",1
"652","PIXEL101/93",1
"653","PIXEL101/94",1
"654","PIXEL101/95",1
"655","PIXEL101/96",1
"656","PIXEL101/97",1
"657","PIXEL101/98",1
"658","PIXEL101/99",1
"659","PIXEL102/100",1
"660","PIXEL102/101",1
"661","PIXEL102/102",1
"662","PIXEL102/103",1
"663","PIXEL102/104",1
"664","PIXEL102/105",1
"665","PIXEL102/106",1
"666","PIXEL102/107",1
"667","PIXEL102/108",2
"668","PIXEL102/109",2
"669","PIXEL102/110",2
"670","PIXEL102/111",2
"671","PIXEL102/112",2
"672","PIXEL102/113",2
"673","PIXEL102/114",2
"674","PIXEL102/115",2
"675","PIXEL102/116",2
"676","PIXEL102/117",2
"677","PIXEL102/118",2
"678","PIXEL102/119",2
"679","PIXEL102/120",2
"680","PIXEL102/121",2
"681","PIXEL102/122",2
"682","PIXEL102/123",2
"683","PIXEL102/124",2
"684","PIXEL102/125",3
"685","PIXEL102/126",3
"686","PIXEL102/127",3
"687","PIXEL102/128",3
"688","PIXEL102/129",3
"689","PIXEL102/130",3
"690","PIXEL102/131",3
"691","PIXEL102/132",3
"692","PIXEL102/133",3
"693","PIXEL102/134",3
"694","PIXEL102/135",3
"695","PIXEL102/136",3
"696","PIXEL102/137",3
"697","PIXEL102/138",3
"698","PIXEL102/139",3
"699","PIXEL102/140",3
"700","PIXEL102/141",3
"701","PIXEL102/142",4
"702","PIXEL102/143",4
"703","PIXEL102/144",4
"704","PIXEL102/145",4
"705","PIXEL102/146",4
"706","PIXEL102/147",4
"707","PIXEL102/148",4
"708","PIXEL102/149",4
"709","PIXEL102/150",4
"710","PIXEL102/151",4
"711","PIXEL102/152",4
"712","PIXEL102/153",4
"713","PIXEL102/154",4
"714","PIXEL102/155",4
"715","PIXEL102/156",3
"716","PIXEL102/157",3
"717","PIXEL102/158",3
"718","PIXEL102/159",2
"719","PIXEL102/160",2
"720","PIXEL102/161",2
"721","PIXEL102/162",2
"722","PIXEL102/163",2
"723","PIXEL102/164",3
"724","PIXEL102/165",3
"725","PIXEL102/166",3
"726","PIXEL102/167",3
"727","PIXEL102/168",3
"728","PIXEL102/169",3
"729","PIXEL102/170",3
"730","PIXEL102/171",3
"731","PIXEL102/172",3
"732","PIXEL102/173",3
"733","PIXEL102/174",3
"734","PIXEL102/175",3
"735","PIXEL102/176",3
"736","PIXEL102/177",3
"737","PIXEL102/178",3
"738","PIXEL102/179",3
"739","PIXEL102/180",3
"740","PIXEL102/181",3
"741","PIXEL102/182",3
"742","PIXEL102/183",3
"743","PIXEL102/184",3
"744","PIXEL102/185",3
"745","PIXEL102/186",3
"746","PIXEL102/187",3
"747","PIXEL102/188",3
"748","PIXEL102/189",3
"749","PIXEL102/190",3
"750","PIXEL102/191",3
"751","PIXEL102/192",3
"752","PIXEL102/193",3
"753","PIXEL102/194",3
"754","PIXEL102/195",3
"755","PIXEL102/196",3
"756","PIXEL102/197",3
"757","PIXEL102/198",3
"758","PIXEL102/199",3
"759","PIXEL102/200",2
"760","PIXEL102/201",2
"761","PIXEL102/202",2
"762","PIXEL102/203",2
"763","PIXEL102/204",2
"764","PIXEL102/205",2
"765","PIXEL102/206",2
"766","PIXEL102/207",2
"767","PIXEL102/208",2
"768","PIXEL102/209",2
"769","PIXEL102/210",2
"770","PIXEL102/211",2
"771","PIXEL102/212",2
"772","PIXEL102/213",2
"773","PIXEL102/214",2
"774","PIXEL102/215",2
"775","PIXEL102/216",2
"776","PIXEL102/217",2
"777","PIXEL102/218",2
"778","PIXEL102/219",2
"779","PIXEL102/220",2
"780","PIXEL102/221",2
"781","PIXEL102/222",2
"782","PIXEL102/223",2
"783","PIXEL102/224",2
"784","PIXEL102/225",2
"785","PIXEL102/226",2
"786","PIXEL102/227",2
"787","PIXEL102/228",2
"788","PIXEL102/229",2
"789","PIXEL102/230",2
"790","PIXEL102/231",2
"791","PIXEL102/232",2
"792","PIXEL102/233",2
"793","PIXEL102/234",2
"794","PIXEL102/235",2
"795","PIXEL102/236",2
"796","PIXEL102/237",1
"797","PIXEL102/238",1
"798","PIXEL102/239",1
"799","PIXEL102/240",1
"800","PIXEL102/241",1
"801","PIXEL102/242",1
"802","PIXEL102/243",1
"803","PIXEL102/27",1
"804","PIXEL102/271",1
"805","PIXEL102/272",1
"806","PIXEL102/273",1
"807","PIXEL102/274",1
"808","PIXEL102/275",1
"809","PIXEL102/276",1
"810","PIXEL102/277",1
"811","PIXEL102/278",1
"812","PIXEL102/279",1
"813","PIXEL102/28",1
"814","PIXEL102/280",1
"815","PIXEL102/281",1
"816","PIXEL102/282",1
"817","PIXEL102/283",1
"818","PIXEL102/284",1
"819","PIXEL102/285",1
"820","PIXEL102/286",1
"821","PIXEL102/29",1
"822","PIXEL102/293",1
"823","PIXEL102/294",1
"824","PIXEL102/295",1
"825","PIXEL102/296",1
"826","PIXEL102/297",1
"827","PIXEL102/298",1
"828","PIXEL102/299",2
"829","PIXEL102/30",1
"830","PIXEL102/300",2
"831","PIXEL102/301",2
"832","PIXEL102/302",2
"833","PIXEL102/303",2
"834","PIXEL102/304",2
"835","PIXEL102/305",2
"836","PIXEL102/306",2
"837","PIXEL102/307",2
"838","PIXEL102/308",2
"839","PIXEL102/309",2
"840","PIXEL102/31",1
"841","PIXEL102/310",2
"842","PIXEL102/311",2
"843","PIXEL102/312",2
"844","PIXEL102/313",2
"845","PIXEL102/314",2
"846","PIXEL102/315",2
"847","PIXEL102/316",2
"848","PIXEL102/317",2
"849","PIXEL102/318",3
"850","PIXEL102/319",3
"851","PIXEL102/32",1
"852","PIXEL102/320",3
"853","PIXEL102/321",2
"854","PIXEL102/322",2
"855","PIXEL102/323",2
"856","PIXEL102/324",3
"857","PIXEL102/325",3
"858","PIXEL102/326",3
"859","PIXEL102/327",3
"860","PIXEL102/328",4
"861","PIXEL102/329",4
"862","PIXEL102/33",1
"863","PIXEL102/330",4
"864","PIXEL102/331",4
"865","PIXEL102/332",4
"866","PIXEL102/333",4
"867","PIXEL102/334",4
"868","PIXEL102/335",4
"869","PIXEL102/336",4
"870","PIXEL102/337",4
"871","PIXEL102/338",4
"872","PIXEL102/339",4
"873","PIXEL102/34",1
"874","PIXEL102/340",4
"875","PIXEL102/341",4
"876","PIXEL102/342",4
"877","PIXEL102/343",4
"878","PIXEL102/344",4
"879","PIXEL102/345",4
"880","PIXEL102/346",4
"881","PIXEL102/347",4
"882","PIXEL102/348",4
"883","PIXEL102/349",4
"884","PIXEL102/35",1
"885","PIXEL102/350",4
"886","PIXEL102/351",4
"887","PIXEL102/352",4
"888","PIXEL102/353",4
"889","PIXEL102/354",4
"890","PIXEL102/355",4
"891","PIXEL102/356",4
"892","PIXEL102/357",4
"893","PIXEL102/358",4
"894","PIXEL102/359",4
"895","PIXEL102/36",1
"896","PIXEL102/360",4
"897","PIXEL102/361",4
"898","PIXEL102/362",4
"899","PIXEL102/363",4
"900","PIXEL102/364",4
"901","PIXEL102/365",4
"902","PIXEL102/366",4
"903","PIXEL102/367",4
"904","PIXEL102/368",4
"905","PIXEL102/369",4
"906","PIXEL102/37",1
"907","PIXEL102/370",4
"908","PIXEL102/371",4
"909","PIXEL102/372",4
"910","PIXEL102/373",3
"911","PIXEL102/374",3
"912","PIXEL102/375",3
"913","PIXEL102/376",3
"914","PIXEL102/377",3
"915","PIXEL102/378",3
"916","PIXEL102/379",3
"917","PIXEL102/38",1
"918","PIXEL102/380",3
"919","PIXEL102/381",3
"920","PIXEL102/382",3
"921","PIXEL102/383",3
"922","PIXEL102/384",2
"923","PIXEL102/385",2
"924","PIXEL102/386",2
"925","PIXEL102/387",1
"926","PIXEL102/388",1
"927","PIXEL102/389",1
"928","PIXEL102/39",1
"929","PIXEL102/390",1
"930","PIXEL102/391",1
"931","PIXEL102/392",1
"932","PIXEL102/393",1
"933","PIXEL102/40",1
"934","PIXEL102/41",1
"935","PIXEL102/42",1
"936","PIXEL102/43",1
"937","PIXEL102/44",1
"938","PIXEL102/45",1
"939","PIXEL102/46",1
"940","PIXEL102/47",1
"941","PIXEL102/48",1
"942","PIXEL102/49",1
"943","PIXEL102/50",1
"944","PIXEL102/51",1
"945","PIXEL102/52",1
"946","PIXEL102/53",1
"947","PIXEL102/54",1
"948","PIXEL102/55",1
"949","PIXEL102/56",1
"950","PIXEL102/57",1
"951","PIXEL102/58",1
"952","PIXEL102/59",1
"953","PIXEL102/60",1
"954","PIXEL102/61",1
"955","PIXEL102/62",1
"956","PIXEL102/63",1
"957","PIXEL102/64",1
"958","PIXEL102/65",1
"959","PIXEL102/66",1
"960","PIXEL102/67",1
"961","PIXEL102/68",1
"962","PIXEL102/69",1
"963","PIXEL102/70",1
"964","PIXEL102/71",1
"965","PIXEL102/72",1
"966","PIXEL102/73",1
"967","PIXEL102/74",1
"968","PIXEL102/75",1
"969","PIXEL102/90",1
"970","PIXEL102/91",1
"971","PIXEL102/92",1
"972","PIXEL102/93",1
"973","PIXEL102/94",1
"974","PIXEL102/95",1
"975","PIXEL102/96",1
"976","PIXEL102/97",1
"977","PIXEL102/98",1
"978","PIXEL102/99",1
"979","PIXEL103/100",1
"980","PIXEL103/101",1
"981","PIXEL103/102",1
"982","PIXEL103/103",1
"983","PIXEL103/104",1
"984","PIXEL103/105",1
"985","PIXEL103/106",1
"986","PIXEL103/107",1
"987","PIXEL103/108",2
"988","PIXEL103/109",2
"989","PIXEL103/110",2
"990","PIXEL103/111",2
"991","PIXEL103/112",2
"992","PIXEL103/113",2
"993","PIXEL103/114",2
"994","PIXEL103/115",2
"995","PIXEL103/116",2
"996","PIXEL103/117",2
"997","PIXEL103/118",2
"998","PIXEL103/119",2
